@RELATION GT2_cont_17_03_01_23_05
@ATTRIBUTE size NUMERIC
@ATTRIBUTE sigma NUMERIC
@ATTRIBUTE threshold NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE class        {1.0}
@DATA
11.0,0.8,300.0,1.87,1.0
11.0,0.8,250.0,1.894,1.0
12.0,0.8,300.0,1.897,1.0
15.0,0.8,300.0,1.898,1.0
12.0,0.8,250.0,1.9,1.0
13.0,0.8,250.0,1.906,1.0
15.0,0.8,250.0,1.913,1.0
14.0,0.8,250.0,1.916,1.0
10.0,0.8,300.0,1.918,1.0
13.0,0.8,300.0,1.924,1.0
11.0,0.7,300.0,1.934,1.0
10.0,0.8,150.0,1.939,1.0
10.0,0.8,250.0,1.946,1.0
15.0,0.8,200.0,1.95,1.0
13.0,0.8,200.0,1.952,1.0
11.0,1.0,300.0,1.953,1.0
12.0,0.7,300.0,1.953,1.0
10.0,0.7,300.0,1.958,1.0
12.0,0.8,200.0,1.9605,1.0
10.0,0.7,250.0,1.969,1.0
10.0,0.9,300.0,1.969,1.0
11.0,0.7,250.0,1.969,1.0
11.0,0.8,200.0,1.969,1.0
11.0,0.8,150.0,1.971,1.0
15.0,0.8,150.0,1.971,1.0
13.0,0.7,300.0,1.972,1.0
12.0,0.8,150.0,1.9745,1.0
12.0,0.7,250.0,1.977,1.0
13.0,0.8,150.0,1.978,1.0
10.0,0.8,200.0,1.979,1.0
11.0,0.9,300.0,1.981,1.0
13.0,0.7,250.0,1.985,1.0
10.0,0.7,200.0,1.994,1.0
14.0,0.8,150.0,1.994,1.0
14.0,0.7,250.0,2.003,1.0
13.0,0.7,200.0,2.005,1.0
15.0,0.7,300.0,2.01,1.0
11.0,0.6,300.0,2.013,1.0
14.0,0.7,300.0,2.015,1.0
14.0,0.8,300.0,2.015,1.0
14.0,0.6,300.0,2.016,1.0
10.0,0.6,300.0,2.018,1.0
12.0,0.7,200.0,2.018,1.0
14.0,0.7,200.0,2.021,1.0
11.0,0.9,200.0,2.025,1.0
15.0,0.7,250.0,2.026,1.0
14.0,0.8,200.0,2.028,1.0
15.0,0.6,300.0,2.028,1.0
12.0,0.6,300.0,2.0285,1.0
10.0,0.7,150.0,2.031,1.0
11.0,0.7,200.0,2.031,1.0
15.0,0.7,200.0,2.034,1.0
13.0,0.7,150.0,2.039,1.0
13.0,0.6,300.0,2.044,1.0
11.0,1.0,200.0,2.05,1.0
10.0,0.6,250.0,2.057,1.0
14.0,0.6,200.0,2.057,1.0
10.0,1.0,250.0,2.059,1.0
11.0,0.6,250.0,2.06,1.0
10.0,1.0,300.0,2.066,1.0
14.0,0.9,300.0,2.066,1.0
14.0,1.0,150.0,2.067,1.0
15.0,0.6,250.0,2.068,1.0
12.0,0.6,250.0,2.069,1.0
10.0,0.6,200.0,2.072,1.0
14.0,0.9,250.0,2.077,1.0
13.0,0.6,250.0,2.078,1.0
12.0,0.7,150.0,2.081,1.0
14.0,0.7,150.0,2.082,1.0
14.0,0.6,250.0,2.083,1.0
14.0,1.0,200.0,2.084,1.0
14.0,1.0,250.0,2.084,1.0
15.0,0.7,150.0,2.087,1.0
15.0,0.6,200.0,2.088,1.0
11.0,0.6,200.0,2.091,1.0
10.0,0.9,250.0,2.092,1.0
12.0,0.6,200.0,2.1025,1.0
11.0,0.5,300.0,2.112,1.0
13.0,0.6,200.0,2.114,1.0
14.0,0.9,200.0,2.116,1.0
11.0,0.7,150.0,2.123,1.0
15.0,0.5,300.0,2.124,1.0
15.0,0.5,250.0,2.133,1.0
10.0,1.0,150.0,2.135,1.0
14.0,0.9,150.0,2.14,1.0
10.0,0.9,200.0,2.144,1.0
10.0,1.0,200.0,2.144,1.0
10.0,0.5,300.0,2.171,1.0
10.0,0.9,100.0,2.171,1.0
10.0,0.9,150.0,2.173,1.0
14.0,0.5,250.0,2.208,1.0
10.0,0.5,250.0,2.211,1.0
11.0,0.5,250.0,2.214,1.0
13.0,1.0,150.0,2.217,1.0
13.0,0.6,150.0,2.226,1.0
10.0,0.8,100.0,2.231,1.0
14.0,0.5,200.0,2.231,1.0
12.0,0.6,150.0,2.2335,1.0
12.0,0.9,200.0,2.234,1.0
10.0,0.5,200.0,2.241,1.0
11.0,0.6,150.0,2.241,1.0
11.0,0.9,250.0,2.268,1.0
12.0,1.0,200.0,2.2705,1.0
12.0,1.0,150.0,2.2765,1.0
15.0,0.5,150.0,2.3,1.0
10.0,0.5,150.0,2.302,1.0
14.0,0.5,300.0,2.306,1.0
12.0,1.0,300.0,2.314,1.0
15.0,0.5,200.0,2.314,1.0
15.0,0.9,250.0,2.325,1.0
10.0,0.7,100.0,2.33,1.0
10.0,0.6,150.0,2.331,1.0
11.0,0.7,100.0,2.334,1.0
15.0,1.0,100.0,2.334,1.0
11.0,1.0,150.0,2.336,1.0
11.0,1.0,250.0,2.336,1.0
15.0,0.9,200.0,2.337,1.0
11.0,0.5,200.0,2.338,1.0
12.0,0.5,300.0,2.3395,1.0
11.0,0.9,150.0,2.353,1.0
15.0,0.9,150.0,2.359,1.0
12.0,0.5,250.0,2.363,1.0
15.0,1.0,200.0,2.369,1.0
15.0,1.0,250.0,2.382,1.0
14.0,0.6,150.0,2.386,1.0
11.0,0.5,150.0,2.388,1.0
15.0,0.9,100.0,2.39,1.0
13.0,0.8,100.0,2.397,1.0
12.0,0.9,300.0,2.404,1.0
12.0,1.0,250.0,2.436,1.0
12.0,0.5,150.0,2.4365,1.0
12.0,0.5,200.0,2.438,1.0
13.0,0.9,200.0,2.443,1.0
10.0,1.0,100.0,2.459,1.0
15.0,0.8,100.0,2.46,1.0
12.0,0.9,150.0,2.4715,1.0
13.0,0.5,150.0,2.485,1.0
13.0,1.0,100.0,2.485,1.0
13.0,1.0,200.0,2.491,1.0
14.0,1.0,300.0,2.499,1.0
12.0,1.0,100.0,2.5025,1.0
15.0,1.0,150.0,2.506,1.0
14.0,0.7,100.0,2.511,1.0
13.0,0.5,250.0,2.512,1.0
11.0,1.0,100.0,2.52,1.0
13.0,1.0,250.0,2.536,1.0
13.0,0.5,200.0,2.538,1.0
11.0,0.9,100.0,2.553,1.0
13.0,0.5,300.0,2.567,1.0
12.0,0.8,100.0,2.582,1.0
13.0,0.9,150.0,2.59,1.0
14.0,1.0,100.0,2.613,1.0
12.0,0.9,100.0,2.6155,1.0
10.0,0.5,100.0,2.667,1.0
14.0,0.9,100.0,2.673,1.0
13.0,1.0,300.0,2.675,1.0
13.0,0.9,100.0,2.678,1.0
15.0,0.6,150.0,2.683,1.0
15.0,0.6,100.0,2.716,1.0
14.0,0.8,100.0,2.738,1.0
11.0,0.8,100.0,2.767,1.0
14.0,0.5,150.0,2.778,1.0
15.0,0.9,300.0,2.792,1.0
12.0,0.7,100.0,2.8,1.0
13.0,0.9,300.0,2.827,1.0
12.0,0.9,250.0,2.8345,1.0
15.0,1.0,300.0,2.857,1.0
15.0,0.5,100.0,2.991,1.0
11.0,0.6,100.0,3.012,1.0
13.0,0.5,100.0,3.044,1.0
12.0,0.5,100.0,3.053,1.0
11.0,0.5,100.0,3.062,1.0
12.0,0.6,100.0,3.099,1.0
10.0,0.6,100.0,3.111,1.0
13.0,0.6,100.0,3.186,1.0
13.0,0.7,100.0,3.266,1.0
14.0,0.6,100.0,3.304,1.0
13.0,0.9,250.0,3.401,1.0
14.0,0.5,100.0,3.476,1.0
15.0,0.7,100.0,3.747,1.0
