@RELATION GT_1_cont_17_03_01_23_40
@ATTRIBUTE size NUMERIC
@ATTRIBUTE sigma NUMERIC
@ATTRIBUTE threshold NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
10.0,0.9,300.0,1.361,0.0
10.0,0.6,300.0,1.366,0.0
10.0,0.5,300.0,1.379,0.0
11.0,0.7,250.0,1.381,0.0
10.0,1.0,300.0,1.387,0.0
11.0,0.5,300.0,1.402,0.0
10.0,0.5,250.0,1.412,0.0
11.0,0.6,250.0,1.414,0.0
11.0,0.5,250.0,1.436,0.0
11.0,0.8,250.0,1.446,0.0
11.0,0.5,200.0,1.466,0.0
11.0,0.6,200.0,1.466,0.0
10.0,0.7,300.0,1.469,0.0
10.0,0.8,300.0,1.469,0.0
10.0,0.6,250.0,1.474,0.0
14.0,0.6,200.0,1.477,0.0
14.0,0.6,250.0,1.48,0.0
14.0,0.9,200.0,1.486,0.0
11.0,0.7,200.0,1.49,0.0
10.0,0.8,200.0,1.496,0.0
12.0,0.5,300.0,1.509,0.0
10.0,1.0,200.0,1.515,0.0
11.0,0.7,300.0,1.527,0.0
11.0,0.5,150.0,1.534,0.0
14.0,0.7,300.0,1.541,0.0
10.0,0.5,200.0,1.542,0.0
11.0,0.8,200.0,1.547,0.0
11.0,0.7,150.0,1.557,0.0
14.0,0.7,200.0,1.563,0.0
12.0,0.7,300.0,1.5645,0.0
14.0,0.7,250.0,1.571,0.0
10.0,0.8,250.0,1.572,0.0
13.0,0.7,300.0,1.602,0.0
10.0,1.0,150.0,1.606,0.0
14.0,0.8,250.0,1.611,0.0
10.0,0.6,200.0,1.616,0.0
11.0,1.0,300.0,1.616,0.0
13.0,0.5,300.0,1.616,0.0
11.0,0.8,300.0,1.618,0.0
10.0,0.7,200.0,1.623,0.0
12.0,0.8,200.0,1.635,0.0
11.0,0.6,150.0,1.638,0.0
14.0,0.8,200.0,1.656,0.0
11.0,0.6,300.0,1.657,0.0
10.0,0.6,150.0,1.664,0.0
11.0,0.9,250.0,1.668,0.0
14.0,0.5,300.0,1.668,0.0
10.0,0.9,150.0,1.672,0.0
14.0,0.6,300.0,1.683,0.0
11.0,0.8,150.0,1.695,0.0
11.0,0.9,300.0,1.696,0.0
14.0,0.9,250.0,1.699,0.0
10.0,0.7,250.0,1.72,0.0
14.0,0.5,250.0,1.72,0.0
13.0,0.8,100.0,1.723,0.0
13.0,0.8,200.0,1.723,0.0
15.0,0.8,200.0,1.723,0.0
12.0,0.5,250.0,1.725,0.0
14.0,0.5,150.0,1.728,0.0
13.0,1.0,150.0,1.729,0.0
11.0,0.9,200.0,1.735,0.0
14.0,0.5,200.0,1.755,0.0
14.0,0.6,150.0,1.782,0.0
12.0,0.6,200.0,1.801,0.0
11.0,0.9,150.0,1.803,0.0
12.0,0.8,250.0,1.805,0.0
12.0,0.9,200.0,1.8115,0.0
10.0,0.8,150.0,1.814,0.0
11.0,1.0,200.0,1.818,0.0
11.0,1.0,100.0,1.819,0.0
15.0,0.5,250.0,1.828,0.0
12.0,0.7,250.0,1.8295,0.0
10.0,0.9,200.0,1.841,0.0
12.0,0.6,250.0,1.843,0.0
14.0,0.8,150.0,1.845,0.0
12.0,0.5,200.0,1.847,0.0
10.0,0.5,150.0,1.848,0.0
11.0,0.7,100.0,1.849,0.0
12.0,1.0,150.0,1.85,0.0
15.0,0.6,300.0,1.854,0.0
13.0,0.5,100.0,1.857,0.0
14.0,0.9,150.0,1.86,0.0
14.0,0.7,150.0,1.863,0.0
12.0,0.5,150.0,1.8645,0.0
12.0,0.9,250.0,1.8655,0.0
11.0,1.0,250.0,1.882,0.0
15.0,0.5,150.0,1.885,0.0
15.0,0.5,200.0,1.885,0.0
13.0,0.9,200.0,1.888,0.0
10.0,1.0,250.0,1.893,0.0
12.0,1.0,300.0,1.8995,0.0
11.0,0.9,100.0,1.901,0.0
15.0,0.9,100.0,1.901,0.0
10.0,0.8,100.0,1.906,0.0
14.0,1.0,250.0,1.908,0.0
12.0,0.7,200.0,1.91,0.0
12.0,0.6,150.0,1.926,0.0
12.0,0.8,300.0,1.9265,0.0
15.0,0.8,300.0,1.928,0.0
15.0,0.6,200.0,1.934,0.0
12.0,0.9,300.0,1.939,0.0
12.0,0.6,300.0,1.9455,0.0
10.0,1.0,100.0,1.946,0.0
12.0,0.8,100.0,1.951,0.0
15.0,0.6,150.0,1.953,0.0
14.0,1.0,150.0,1.956,0.0
14.0,1.0,200.0,1.962,0.0
10.0,0.7,150.0,1.965,0.0
10.0,0.9,100.0,1.965,0.0
12.0,1.0,250.0,1.97,0.0
11.0,1.0,150.0,1.971,0.0
12.0,1.0,200.0,1.991,0.0
14.0,0.9,300.0,2.003,0.0
15.0,0.7,150.0,2.008,0.0
13.0,0.5,250.0,2.014,0.0
15.0,0.9,200.0,2.032,0.0
15.0,0.9,300.0,2.036,0.0
15.0,0.7,200.0,2.051,0.0
