@RELATION GT_2 _cont_17_03_01_23_47
@ATTRIBUTE size NUMERIC
@ATTRIBUTE sigma NUMERIC
@ATTRIBUTE threshold NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
11.0,0.8,300.0,1.87,0.0
11.0,0.8,250.0,1.894,0.0
12.0,0.8,300.0,1.897,0.0
15.0,0.8,300.0,1.898,0.0
12.0,0.8,250.0,1.9,0.0
13.0,0.8,250.0,1.906,0.0
15.0,0.8,250.0,1.913,0.0
14.0,0.8,250.0,1.916,0.0
10.0,0.8,300.0,1.918,0.0
13.0,0.8,300.0,1.924,0.0
11.0,0.7,300.0,1.934,0.0
10.0,0.8,150.0,1.939,0.0
10.0,0.8,250.0,1.946,0.0
15.0,0.8,200.0,1.95,0.0
13.0,0.8,200.0,1.952,0.0
11.0,1.0,300.0,1.953,0.0
12.0,0.7,300.0,1.953,0.0
10.0,0.7,300.0,1.958,0.0
12.0,0.8,200.0,1.9605,0.0
10.0,0.7,250.0,1.969,0.0
10.0,0.9,300.0,1.969,0.0
11.0,0.7,250.0,1.969,0.0
11.0,0.8,200.0,1.969,0.0
11.0,0.8,150.0,1.971,0.0
15.0,0.8,150.0,1.971,0.0
13.0,0.7,300.0,1.972,0.0
12.0,0.8,150.0,1.9745,0.0
12.0,0.7,250.0,1.977,0.0
13.0,0.8,150.0,1.978,0.0
10.0,0.8,200.0,1.979,0.0
11.0,0.9,300.0,1.981,0.0
13.0,0.7,250.0,1.985,0.0
10.0,0.7,200.0,1.994,0.0
14.0,0.8,150.0,1.994,0.0
14.0,0.7,250.0,2.003,0.0
13.0,0.7,200.0,2.005,0.0
15.0,0.7,300.0,2.01,0.0
11.0,0.6,300.0,2.013,0.0
14.0,0.7,300.0,2.015,0.0
14.0,0.8,300.0,2.015,0.0
14.0,0.6,300.0,2.016,0.0
10.0,0.6,300.0,2.018,0.0
12.0,0.7,200.0,2.018,0.0
14.0,0.7,200.0,2.021,0.0
11.0,0.9,200.0,2.025,0.0
15.0,0.7,250.0,2.026,0.0
14.0,0.8,200.0,2.028,0.0
15.0,0.6,300.0,2.028,0.0
12.0,0.6,300.0,2.0285,0.0
10.0,0.7,150.0,2.031,0.0
11.0,0.7,200.0,2.031,0.0
15.0,0.7,200.0,2.034,0.0
13.0,0.7,150.0,2.039,0.0
13.0,0.6,300.0,2.044,0.0
11.0,1.0,200.0,2.05,0.0
10.0,0.6,250.0,2.057,0.0
14.0,0.6,200.0,2.057,0.0
10.0,1.0,250.0,2.059,0.0
11.0,0.6,250.0,2.06,0.0
10.0,1.0,300.0,2.066,0.0
14.0,0.9,300.0,2.066,0.0
14.0,1.0,150.0,2.067,0.0
15.0,0.6,250.0,2.068,0.0
12.0,0.6,250.0,2.069,0.0
10.0,0.6,200.0,2.072,0.0
14.0,0.9,250.0,2.077,0.0
13.0,0.6,250.0,2.078,0.0
12.0,0.7,150.0,2.081,0.0
14.0,0.7,150.0,2.082,0.0
14.0,0.6,250.0,2.083,0.0
14.0,1.0,200.0,2.084,0.0
14.0,1.0,250.0,2.084,0.0
15.0,0.7,150.0,2.087,0.0
15.0,0.6,200.0,2.088,0.0
11.0,0.6,200.0,2.091,0.0
10.0,0.9,250.0,2.092,0.0
12.0,0.6,200.0,2.1025,0.0
11.0,0.5,300.0,2.112,0.0
13.0,0.6,200.0,2.114,0.0
14.0,0.9,200.0,2.116,0.0
11.0,0.7,150.0,2.123,0.0
15.0,0.5,300.0,2.124,0.0
15.0,0.5,250.0,2.133,0.0
10.0,1.0,150.0,2.135,0.0
14.0,0.9,150.0,2.14,0.0
10.0,0.9,200.0,2.144,0.0
10.0,1.0,200.0,2.144,0.0
10.0,0.5,300.0,2.171,0.0
10.0,0.9,100.0,2.171,0.0
10.0,0.9,150.0,2.173,0.0
14.0,0.5,250.0,2.208,0.0
10.0,0.5,250.0,2.211,0.0
11.0,0.5,250.0,2.214,0.0
13.0,1.0,150.0,2.217,0.0
13.0,0.6,150.0,2.226,0.0
10.0,0.8,100.0,2.231,0.0
14.0,0.5,200.0,2.231,0.0
12.0,0.6,150.0,2.2335,0.0
12.0,0.9,200.0,2.234,0.0
10.0,0.5,200.0,2.241,0.0
11.0,0.6,150.0,2.241,0.0
11.0,0.9,250.0,2.268,0.0
12.0,1.0,200.0,2.2705,0.0
12.0,1.0,150.0,2.2765,0.0
15.0,0.5,150.0,2.3,0.0
10.0,0.5,150.0,2.302,0.0
14.0,0.5,300.0,2.306,0.0
12.0,1.0,300.0,2.314,0.0
15.0,0.5,200.0,2.314,0.0
15.0,0.9,250.0,2.325,0.0
10.0,0.7,100.0,2.33,0.0
10.0,0.6,150.0,2.331,0.0
11.0,0.7,100.0,2.334,0.0
15.0,1.0,100.0,2.334,0.0
11.0,1.0,150.0,2.336,0.0
11.0,1.0,250.0,2.336,0.0
15.0,0.9,200.0,2.337,0.0
11.0,0.5,200.0,2.338,0.0
12.0,0.5,300.0,2.3395,0.0
11.0,0.9,150.0,2.353,0.0
15.0,0.9,150.0,2.359,0.0
12.0,0.5,250.0,2.363,0.0
15.0,1.0,200.0,2.369,0.0
15.0,1.0,250.0,2.382,0.0
14.0,0.6,150.0,2.386,0.0
11.0,0.5,150.0,2.388,0.0
15.0,0.9,100.0,2.39,0.0
13.0,0.8,100.0,2.397,0.0
12.0,0.9,300.0,2.404,0.0
12.0,1.0,250.0,2.436,0.0
12.0,0.5,150.0,2.4365,0.0
12.0,0.5,200.0,2.438,0.0
13.0,0.9,200.0,2.443,0.0
10.0,1.0,100.0,2.459,0.0
15.0,0.8,100.0,2.46,0.0
12.0,0.9,150.0,2.4715,0.0
13.0,0.5,150.0,2.485,0.0
13.0,1.0,100.0,2.485,0.0
13.0,1.0,200.0,2.491,0.0
14.0,1.0,300.0,2.499,0.0
12.0,1.0,100.0,2.5025,0.0
15.0,1.0,150.0,2.506,0.0
14.0,0.7,100.0,2.511,0.0
13.0,0.5,250.0,2.512,0.0
11.0,1.0,100.0,2.52,0.0
13.0,1.0,250.0,2.536,0.0
13.0,0.5,200.0,2.538,0.0
11.0,0.9,100.0,2.553,0.0
13.0,0.5,300.0,2.567,0.0
12.0,0.8,100.0,2.582,0.0
13.0,0.9,150.0,2.59,0.0
14.0,1.0,100.0,2.613,0.0
12.0,0.9,100.0,2.6155,0.0
10.0,0.5,100.0,2.667,0.0
14.0,0.9,100.0,2.673,0.0
13.0,1.0,300.0,2.675,0.0
13.0,0.9,100.0,2.678,0.0
15.0,0.6,150.0,2.683,0.0
15.0,0.6,100.0,2.716,0.0
14.0,0.8,100.0,2.738,0.0
11.0,0.8,100.0,2.767,0.0
14.0,0.5,150.0,2.778,0.0
15.0,0.9,300.0,2.792,0.0
12.0,0.7,100.0,2.8,0.0
13.0,0.9,300.0,2.827,0.0
12.0,0.9,250.0,2.8345,0.0
15.0,1.0,300.0,2.857,0.0
15.0,0.5,100.0,2.991,0.0
11.0,0.6,100.0,3.012,0.0
13.0,0.5,100.0,3.044,0.0
12.0,0.5,100.0,3.053,0.0
11.0,0.5,100.0,3.062,0.0
12.0,0.6,100.0,3.099,0.0
10.0,0.6,100.0,3.111,0.0
13.0,0.6,100.0,3.186,0.0
13.0,0.7,100.0,3.266,0.0
14.0,0.6,100.0,3.304,0.0
13.0,0.9,250.0,3.401,0.0
14.0,0.5,100.0,3.476,0.0
15.0,0.7,100.0,3.747,0.0
