@RELATION OECD-2014(full)_17_02_15_05_04
@ATTRIBUTE attr1 NUMERIC
@ATTRIBUTE attr2 NUMERIC
@ATTRIBUTE attr3 NUMERIC
@ATTRIBUTE attr4 NUMERIC
@ATTRIBUTE attr5 NUMERIC
@ATTRIBUTE attr6 NUMERIC
@ATTRIBUTE attr7 NUMERIC
@ATTRIBUTE attr8 NUMERIC
@ATTRIBUTE attr9 NUMERIC
@ATTRIBUTE attr10 NUMERIC
@ATTRIBUTE attr11 NUMERIC
@ATTRIBUTE attr12 NUMERIC
@ATTRIBUTE attr13 NUMERIC
@ATTRIBUTE attr14 NUMERIC
@ATTRIBUTE attr15 NUMERIC
@ATTRIBUTE attr16 NUMERIC
@ATTRIBUTE attr17 NUMERIC
@ATTRIBUTE attr18 NUMERIC
@ATTRIBUTE attr19 NUMERIC
@ATTRIBUTE attr20 NUMERIC
@ATTRIBUTE attr21 NUMERIC
@ATTRIBUTE attr22 NUMERIC
@ATTRIBUTE attr23 NUMERIC
@ATTRIBUTE attr24 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
1.1,20.0,2.3,31197.0,38482.0,72.0,4.4,1.06,46585.0,93.0,74.0,514.0,18.8,13.0,93.0,10.5,93.0,82.0,85.0,7.4,2.1,0.8,14.23,14.41,0.0
1.0,21.0,1.6,29256.0,48125.0,73.0,3.4,1.07,43837.0,95.0,82.0,498.0,16.9,27.0,95.0,7.1,75.0,81.1,69.0,7.5,3.4,0.5,8.61,14.46,0.0
1.9,20.0,2.3,27811.0,78368.0,62.0,4.5,3.37,47276.0,91.0,71.0,507.0,18.8,21.0,84.0,4.5,89.0,80.5,74.0,7.1,6.6,1.2,4.41,15.71,0.0
0.2,22.0,2.5,30212.0,63261.0,72.0,6.6,0.9,44017.0,94.0,89.0,522.0,17.0,15.0,90.0,10.5,61.0,81.0,88.0,7.6,1.3,1.7,3.98,14.25,0.0
9.4,19.0,1.3,13762.0,18141.0,62.0,4.7,2.01,15438.0,85.0,72.0,439.0,16.4,46.0,79.0,2.0,88.0,78.3,59.0,6.6,6.9,5.2,15.42,14.41,0.0
0.9,25.0,1.4,17262.0,17875.0,67.0,4.2,3.03,20645.0,87.0,92.0,496.0,17.9,16.0,81.0,6.8,59.0,78.0,60.0,6.7,2.8,0.8,7.14,14.98,0.0
0.4,24.0,2.0,25172.0,39951.0,73.0,5.8,2.11,45642.0,96.0,77.0,500.0,19.2,15.0,95.0,7.0,88.0,79.9,71.0,7.6,3.9,0.8,2.06,16.06,0.0
8.6,20.0,1.6,14382.0,7843.0,67.0,5.3,5.46,17488.0,89.0,89.0,523.0,17.5,9.0,80.0,3.3,64.0,76.3,52.0,5.4,5.5,4.7,3.59,14.9,0.0
0.6,22.0,1.9,26904.0,20190.0,70.0,6.4,1.65,38976.0,93.0,84.0,529.0,19.7,15.0,95.0,9.0,69.0,80.6,69.0,7.4,2.4,1.8,3.7,14.89,0.0
0.5,21.0,1.8,29322.0,47668.0,64.0,6.5,3.98,38625.0,91.0,72.0,499.0,16.5,12.0,85.0,3.5,80.0,82.2,68.0,6.7,5.0,0.8,8.71,15.33,0.0
0.9,21.0,1.8,30721.0,49484.0,73.0,3.2,2.52,41782.0,93.0,86.0,514.0,18.1,16.0,94.0,4.5,72.0,80.8,65.0,7.0,3.6,0.5,5.6,15.31,0.0
0.5,27.0,1.2,19095.0,14004.0,51.0,12.0,14.37,27434.0,68.0,67.0,468.0,18.6,27.0,66.0,6.5,62.0,80.8,76.0,4.7,3.7,1.4,5.65,14.91,0.0
4.8,21.0,1.0,15240.0,13652.0,57.0,6.7,5.05,20514.0,87.0,82.0,486.0,17.5,15.0,77.0,7.9,64.0,75.0,56.0,4.9,3.6,1.5,2.92,15.04,0.0
0.4,21.0,1.6,22415.0,43045.0,80.0,4.3,1.68,39433.0,96.0,71.0,486.0,19.5,18.0,97.0,5.1,81.0,82.4,78.0,7.5,2.7,1.3,13.73,14.61,0.0
0.2,20.0,2.1,23721.0,28099.0,59.0,6.4,9.24,50853.0,95.0,73.0,518.0,17.5,13.0,84.0,9.0,70.0,80.6,83.0,6.8,2.6,0.8,4.17,15.19,0.0
3.8,21.0,1.1,20434.0,55932.0,67.0,6.5,0.91,27577.0,89.0,83.0,474.0,15.7,21.0,66.0,2.5,68.0,81.8,82.0,7.1,6.4,2.2,18.77,14.48,0.0
0.5,23.0,1.4,24724.0,54147.0,58.0,5.5,5.67,33571.0,91.0,56.0,489.0,17.0,21.0,80.0,5.0,75.0,82.7,65.0,6.0,4.7,0.7,3.7,14.98,0.0
6.4,22.0,1.8,25066.0,85309.0,71.0,2.9,1.67,36039.0,90.0,93.0,538.0,16.2,24.0,86.0,7.3,59.0,82.7,30.0,6.0,1.4,0.3,22.62,14.93,0.0
4.2,16.0,1.4,18035.0,28290.0,64.0,3.0,0.01,34056.0,77.0,81.0,537.0,17.5,30.0,78.0,10.4,76.0,81.1,37.0,6.0,2.1,1.1,27.13,14.63,0.0
0.7,23.0,2.0,35635.0,57159.0,66.0,4.0,1.56,52542.0,88.0,77.0,487.0,14.1,12.0,81.0,6.0,91.0,81.1,73.0,7.1,4.3,2.1,3.18,15.12,0.0
4.2,21.0,1.0,12850.0,10449.0,61.0,4.7,0.09,14653.0,74.0,36.0,417.0,15.2,30.0,68.0,9.0,63.0,74.4,66.0,7.4,12.8,23.4,28.77,13.89,0.0
0.0,21.0,2.0,25697.0,71073.0,75.0,3.6,1.78,45362.0,92.0,72.0,522.0,18.6,30.0,94.0,6.1,75.0,81.3,76.0,7.4,4.9,0.9,0.59,15.44,0.0
0.2,25.0,2.3,21773.0,7480.0,72.0,5.8,0.91,31394.0,96.0,74.0,511.0,18.1,11.0,89.0,10.3,74.0,81.2,89.0,7.3,2.2,1.9,13.07,14.87,0.0
0.3,17.0,2.0,32093.0,8365.0,76.0,2.9,0.28,46618.0,93.0,82.0,498.0,17.9,16.0,96.0,8.1,78.0,81.4,73.0,7.7,3.3,2.3,3.1,15.56,0.0
3.5,23.0,1.0,16234.0,10406.0,60.0,7.3,3.51,21140.0,89.0,89.0,520.0,18.3,33.0,77.0,10.8,55.0,76.9,58.0,5.7,1.4,1.0,7.58,14.2,0.0
0.9,18.0,1.6,18806.0,29640.0,62.0,9.1,7.62,23419.0,85.0,35.0,488.0,17.8,18.0,87.0,6.5,58.0,80.8,50.0,5.2,5.7,0.9,9.31,14.95,0.0
1.1,25.0,1.2,17228.0,9651.0,60.0,5.8,8.89,20428.0,88.0,91.0,469.0,16.4,13.0,82.0,6.6,59.0,76.1,63.0,5.9,3.0,1.2,6.48,14.99,0.0
0.4,20.0,1.4,19692.0,18912.0,64.0,5.0,4.23,33040.0,93.0,84.0,497.0,18.3,26.0,90.0,10.3,66.0,80.1,61.0,6.0,3.9,0.4,5.72,14.62,0.0
0.0,20.0,1.9,22799.0,23920.0,56.0,17.7,11.13,34747.0,92.0,54.0,490.0,17.6,24.0,75.0,7.3,69.0,82.4,75.0,6.2,4.2,0.7,5.95,16.06,0.0
0.0,21.0,1.7,27546.0,55301.0,74.0,6.5,1.4,38789.0,91.0,87.0,484.0,19.2,10.0,97.0,10.9,85.0,81.9,80.0,7.4,5.1,1.0,1.14,15.11,0.0
