@RELATION OECD-2014(stanke)_17_02_15_05_08
@ATTRIBUTE attr1 NUMERIC
@ATTRIBUTE attr2 NUMERIC
@ATTRIBUTE attr3 NUMERIC
@ATTRIBUTE attr4 NUMERIC
@ATTRIBUTE attr5 NUMERIC
@ATTRIBUTE attr6 NUMERIC
@ATTRIBUTE attr7 NUMERIC
@ATTRIBUTE attr8 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
74.0,514.0,18.8,82.0,85.0,7.4,14.23,14.41,0.0
82.0,498.0,16.9,81.1,69.0,7.5,8.61,14.46,0.0
71.0,507.0,18.8,80.5,74.0,7.1,4.41,15.71,0.0
89.0,522.0,17.0,81.0,88.0,7.6,3.98,14.25,0.0
72.0,439.0,16.4,78.3,59.0,6.6,15.42,14.41,0.0
92.0,496.0,17.9,78.0,60.0,6.7,7.14,14.98,0.0
77.0,500.0,19.2,79.9,71.0,7.6,2.06,16.06,0.0
89.0,523.0,17.5,76.3,52.0,5.4,3.59,14.9,0.0
84.0,529.0,19.7,80.6,69.0,7.4,3.7,14.89,0.0
72.0,499.0,16.5,82.2,68.0,6.7,8.71,15.33,0.0
86.0,514.0,18.1,80.8,65.0,7.0,5.6,15.31,0.0
67.0,468.0,18.6,80.8,76.0,4.7,5.65,14.91,0.0
82.0,486.0,17.5,75.0,56.0,4.9,2.92,15.04,0.0
71.0,486.0,19.5,82.4,78.0,7.5,13.73,14.61,0.0
73.0,518.0,17.5,80.6,83.0,6.8,4.17,15.19,0.0
83.0,474.0,15.7,81.8,82.0,7.1,18.77,14.48,0.0
56.0,489.0,17.0,82.7,65.0,6.0,3.7,14.98,0.0
93.0,538.0,16.2,82.7,30.0,6.0,22.62,14.93,0.0
81.0,537.0,17.5,81.1,37.0,6.0,27.13,14.63,0.0
77.0,487.0,14.1,81.1,73.0,7.1,3.18,15.12,0.0
36.0,417.0,15.2,74.4,66.0,7.4,28.77,13.89,0.0
72.0,522.0,18.6,81.3,76.0,7.4,0.59,15.44,0.0
74.0,511.0,18.1,81.2,89.0,7.3,13.07,14.87,0.0
82.0,498.0,17.9,81.4,73.0,7.7,3.1,15.56,0.0
89.0,520.0,18.3,76.9,58.0,5.7,7.58,14.2,0.0
35.0,488.0,17.8,80.8,50.0,5.2,9.31,14.95,0.0
91.0,469.0,16.4,76.1,63.0,5.9,6.48,14.99,0.0
84.0,497.0,18.3,80.1,61.0,6.0,5.72,14.62,0.0
54.0,490.0,17.6,82.4,75.0,6.2,5.95,16.06,0.0
87.0,484.0,19.2,81.9,80.0,7.4,1.14,15.11,0.0
86.0,515.0,17.1,82.8,81.0,7.8,7.3,14.98,0.0
32.0,462.0,16.0,74.6,67.0,4.9,43.29,13.42,0.0
77.0,505.0,16.6,81.1,78.0,6.9,12.27,14.83,0.0
89.0,494.0,17.1,78.7,90.0,7.0,11.44,14.27,0.0
43.0,406.0,16.3,73.4,69.0,7.2,10.74,14.97,0.0
94.0,475.0,15.8,69.0,37.0,5.5,0.17,14.97,0.0
