@RELATION agosto_15_09_20_16_26
@ATTRIBUTE time_interval NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
8.0,36.9,0.058,0.061,0.063,0.063,0.064,-3.752,0.359,53.15,-0.317,55.759,-0.132,54.911,-0.216,41.917,-0.339,9.8,0.099,8.266,1.4,28.5,-3.767,1.162,0.239,13.686,36.0,0.055,0.056,0.057,0.057,0.057,-5.022,0.193,0.062,4.812,1.25,3.91E-4,2.48E-4,0.05670001,0.050498445,32.900043,0.319,0.0
8.0,35.6,0.071,0.076,0.078,0.078,0.079,-3.915,0.402,52.303,-0.301,49.095,-0.073,52.284,-0.382,44.525,-0.239,8.4,0.093,7.557,1.44,NaN,NaN,NaN,NaN,NaN,37.4,0.047,0.049,0.05,0.05,0.05,-5.071,0.583,0.052,4.183,1.38,5.99E-4,2.28E-4,0.06998908,0.044296883,34.947025,0.258,0.0
8.0,33.8,0.074,0.081,0.084,0.084,0.085,-4.236,0.761,43.412,-0.214,40.423,-0.346,48.371,-0.069,54.54,-0.336,9.6,0.122,9.533,1.26,31.3,-0.511,0.532,0.104,6.879,38.2,0.044,0.046,0.047,0.047,0.047,-5.933,0.602,0.054,4.39,1.42,5.38E-4,2.1E-4,0.0753047,0.041639067,42.807655,0.406,0.0
8.0,30.3,0.121,0.128,0.13,0.131,0.135,-4.238,0.938,28.114,-0.26,54.445,-0.208,45.773,-0.256,48.229,-0.21,8.3,0.212,14.591,1.42,32.1,0.032,0.601,0.131,8.815,38.3,0.041,0.043,0.044,0.044,0.044,-6.451,0.348,0.056,4.585,1.37,0.001731,1.73E-4,0.119601585,0.038981255,37.85424,0.608,0.0
8.0,31.5,0.083,0.087,0.092,0.092,0.092,-5.321,0.711,52.712,-0.238,68.515,-0.248,48.857,-0.104,58.148,-0.163,8.4,0.113,8.419,1.38,30.8,-0.748,0.783,0.196,12.273,36.7,0.052,0.054,0.055,0.055,0.056,-6.855,0.218,0.09,6.975,1.41,7.13E-4,2.85E-4,0.09028976,0.054958984,56.0062,0.318,0.0
8.0,37.3,0.042,0.046,0.048,0.048,0.048,-2.673,0.316,48.029,-0.107,41.593,-0.108,47.162,-0.15,46.563,0.099,11.5,0.049,4.268,1.53,29.2,-1.092,0.732,0.224,13.514,35.6,0.059,0.061,0.062,0.062,0.062,-9.877,0.808,0.074,5.713,1.41,2.1E-4,3.66E-4,0.030889068,0.039898377,19.28271,0.166,0.0
8.0,34.8,0.057,0.06,0.063,0.064,0.064,-3.026,0.519,49.895,-0.259,37.471,-0.049,46.001,-0.108,52.608,-0.124,11.7,0.066,5.349,1.53,31.6,-2.06,0.634,0.145,9.424,34.4,0.064,0.066,0.067,0.067,0.067,-10.439,0.596,0.088,6.598,1.34,3.82E-4,3.96E-4,0.05352511,0.056034096,36.796535,0.216,0.0
8.0,29.5,0.107,0.112,0.116,0.117,0.118,-3.845,0.868,58.015,-0.043,63.784,-0.026,59.833,-0.549,43.564,-0.25,5.7,0.202,14.192,1.38,28.9,-2.459,1.254,0.19,11.332,32.7,0.086,0.09,0.091,0.092,0.093,-11.143,0.85,0.187,12.707,1.37,0.001154,7.81E-4,0.09868691,0.07777867,30.47073,0.631,0.0
8.0,30.3,0.095,0.102,0.106,0.107,0.107,-3.177,0.786,49.638,0.034,49.638,-0.363,44.354,0.016,47.419,-0.199,7.2,0.121,8.629,1.4,31.4,-1.509,0.874,0.225,14.141,29.3,0.13,0.134,0.135,0.137,0.137,-12.964,1.204,0.249,15.198,1.27,9.84E-4,0.001461,0.089487284,0.114577174,33.1671,0.303,0.0
8.0,29.9,0.128,0.136,0.141,0.144,0.145,-6.509,1.274,41.698,0.039,36.12,-0.37,24.182,-0.012,14.777,-0.109,5.7,0.209,14.277,1.51,29.8,-4.6,0.975,0.19,11.704,37.0,0.057,0.059,0.06,0.06,0.06,-2.621,0.268,0.065,5.122,1.58,0.00206,3.48E-4,0.14438704,0.05974636,14.65233,0.536,0.0
