@RELATION dezembro_15_09_20_22_05
@ATTRIBUTE time_interval NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
12.0,45.8,0.078,0.15,0.212,0.232,0.237,-19.784,0.222,110.747,0.915,110.795,0.457,113.822,0.679,114.707,0.469,34.8,0.217,20.668,2.4,42.4,-33.191,0.482,0.452,31.809,48.0,0.132,0.286,0.378,0.401,0.409,-42.193,0.239,0.347,29.944,2.75,6.94E-4,0.002111,0.1965986,0.33927777,78.932175,0.631,0.0
12.0,46.4,0.08,0.178,0.293,0.299,0.301,-19.5,0.214,113.898,0.202,111.004,-1.078,107.587,-0.089,101.446,0.564,34.4,0.104,10.823,2.24,42.0,-33.255,0.37,0.305,23.641,47.6,0.128,0.248,0.398,0.411,0.421,-42.295,0.363,0.328,28.269,2.35,3.57E-4,8.46E-4,0.24968852,0.3492321,69.807014,0.525,0.0
12.0,45.6,0.072,0.139,0.217,0.22,0.22,-19.439,0.246,101.227,0.134,108.653,-0.301,102.065,1.089,108.053,0.252,33.0,0.14,13.953,2.26,40.9,-32.76,0.498,0.228,18.921,47.2,0.129,0.255,0.341,0.344,0.345,-42.058,0.524,0.204,19.811,2.45,4.45E-4,7.14E-4,0.21918614,0.34372374,107.255035,0.64,0.0
12.0,45.4,0.054,0.103,0.142,0.146,0.147,-18.642,0.243,107.729,1.482,118.858,-0.057,116.83,0.239,113.289,-0.436,34.2,0.13,12.959,2.13,43.3,-31.452,0.392,0.145,12.672,49.2,0.078,0.163,0.212,0.219,0.221,-40.313,0.281,0.115,11.826,2.28,2.39E-4,2.79E-4,0.1464562,0.22018245,112.45237,0.443,0.0
12.0,45.2,0.06,0.111,0.177,0.188,0.193,-18.46,0.192,111.413,-0.041,111.594,0.016,109.433,-0.295,102.827,0.293,33.3,0.122,12.206,2.22,41.5,-32.029,0.292,0.366,27.216,47.4,0.13,0.275,0.391,0.446,0.468,-40.951,0.371,0.475,37.392,2.62,3.25E-4,0.006075,0.13861716,0.33612865,53.042812,0.492,0.0
12.0,45.4,0.071,0.146,0.213,0.221,0.223,-18.554,0.348,95.392,0.022,94.821,0.8,100.066,0.115,97.8,1.149,30.2,0.261,23.955,2.29,38.3,-31.434,0.603,0.516,34.137,44.9,0.174,0.362,0.528,0.571,0.583,-41.344,0.43,0.266,24.555,2.47,4.85E-4,0.001573,0.16016388,0.4187244,50.44966,0.681,0.0
12.0,45.4,0.08,0.16,0.29,0.295,0.298,-17.721,0.204,107.606,0.869,112.632,0.256,117.297,-0.501,114.326,0.594,32.3,0.117,11.971,2.32,41.3,-30.278,0.301,0.427,29.771,46.9,0.166,0.317,0.459,0.477,0.481,-39.286,0.258,0.484,37.308,2.85,4.07E-4,0.008584,0.22968262,0.37072933,67.915474,0.543,0.0
12.0,45.7,0.074,0.134,0.17,0.175,0.18,-17.746,0.323,114.355,0.441,120.647,-0.307,127.663,-0.926,121.4,-1.797,33.1,0.102,10.393,2.36,42.3,-30.231,0.615,0.189,15.68,47.4,0.13,0.231,0.323,0.335,0.343,-39.215,0.503,0.334,27.998,3.0,5.64E-4,0.005282,0.13873447,0.26436624,72.1178,0.427,0.0
12.0,45.1,0.078,0.147,0.22,0.232,0.233,-19.09,0.34,115.193,-0.889,101.484,-0.285,101.389,-1.198,107.501,-0.862,31.4,0.113,11.266,2.31,40.3,-32.635,0.603,0.341,25.052,45.6,0.141,0.252,0.329,0.356,0.357,-42.141,0.731,0.352,28.829,2.63,5.22E-4,0.001829,0.23299077,0.35698587,107.492485,0.465,0.0
12.0,45.5,0.066,0.112,0.159,0.164,0.166,-19.958,0.282,102.056,-0.891,103.084,-0.948,102.303,-0.493,107.491,-0.575,32.3,0.168,16.277,2.25,41.1,-33.726,0.29,0.268,20.747,47.2,0.111,0.251,0.338,0.353,0.385,-43.63,0.263,0.212,19.875,2.64,3.63E-4,9.87E-4,0.16599342,0.38498473,107.48248,0.537,0.0
