@RELATION jan-norm_17_05_17_00_52
@ATTRIBUTE Id NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
1.0,-1.4175493,1.8411342,1.879196,1.7951653,1.8257031,1.786419,-0.9558448,2.1460052,-1.0080146,-0.30380356,-0.86165303,0.021434385,-0.49348545,0.13932618,-0.3771291,0.05446194,-1.5870878,1.9374406,2.1962533,1.0136521,NaN,NaN,NaN,NaN,NaN,-0.9221515,NaN,NaN,NaN,NaN,NaN,-1.043596,1.6600091,2.1889157,2.6260736,NaN,1.0927835,NaN,1.6097965,NaN,-0.53079426,3.2949557,0.0
1.0,-1.7316628,3.1151493,3.632203,3.287779,3.224173,3.2874296,-0.9087559,3.5680645,-0.14389627,4.259296,0.07442035,0.06152859,0.12188761,0.28638527,-0.048383642,-0.030684177,-1.2817941,3.4195619,3.6619942,1.3447376,NaN,NaN,NaN,NaN,NaN,-1.1306646,NaN,NaN,NaN,NaN,NaN,-0.9581632,0.4384434,2.8912709,3.323454,NaN,3.2848885,NaN,3.0031462,NaN,-0.3439702,3.6583855,0.0
1.0,-1.2290817,4.643967,6.7773037,6.1179295,6.095698,6.014876,-0.86100245,1.7904906,0.06699291,-0.38046038,-0.0070483284,-0.16579919,-0.2001018,-0.45564553,-0.49799204,-0.17662111,-0.8943059,4.7343473,5.2225766,2.7242565,NaN,NaN,NaN,NaN,NaN,-2.1210976,NaN,NaN,NaN,NaN,NaN,-0.9911128,1.8875813,8.896405,7.9241886,NaN,4.4378023,NaN,5.534964,NaN,-0.5994799,5.143707,0.0
1.0,-1.6269581,3.539821,3.8384392,4.3733163,4.249718,4.16607,1.5979677,1.664579,-1.829131,-0.34414923,-1.703459,6.872253E-4,-1.8184971,0.039790038,-1.6623675,-0.019188477,-1.5401193,5.1646404,5.214846,1.1791942,NaN,NaN,NaN,NaN,NaN,-1.4434321,NaN,NaN,NaN,NaN,NaN,-1.4462887,0.6241632,11.6180315,9.625144,NaN,2.3574595,NaN,4.1621222,NaN,-1.1208678,4.7723765,0.0
1.0,-2.9671755,2.3932073,1.4925034,1.1167045,1.0798523,1.0542186,1.8939822,2.3607955,3.442666,0.27314007,3.5145204,9.417922E-4,3.3521159,0.062616,3.1761017,0.013155358,-2.8552303,1.4354317,1.2121557,-1.9109275,NaN,NaN,NaN,NaN,NaN,-2.72057,NaN,NaN,NaN,NaN,NaN,1.976868,0.26580238,0.60861707,0.61226195,NaN,1.5515962,NaN,1.3310666,NaN,3.3778813,1.1854825,0.0
1.0,-2.9462342,2.3932073,1.5956215,1.329935,1.2849612,1.2555737,1.8873366,2.9459138,3.1169007,0.66449344,3.3557527,-0.0110228285,3.815649,0.05775145,3.835987,-0.0028217179,-2.8787143,2.3199234,1.981298,-1.7453848,NaN,NaN,NaN,NaN,NaN,-2.798762,NaN,NaN,NaN,NaN,NaN,1.9885666,0.40966988,0.38035163,0.34741366,NaN,1.6006145,NaN,0.64624953,NaN,0.12731697,1.6279187,0.0
1.0,-3.3650525,3.582288,2.2143297,1.756396,1.676533,1.6582841,1.8738555,4.0865235,3.3040485,1.2333678,3.4541168,-0.013823058,3.3417468,-0.039165337,3.9734268,-0.021916268,-3.3014286,3.1326997,2.4980237,-2.2420118,NaN,NaN,NaN,NaN,NaN,-3.7631314,NaN,NaN,NaN,NaN,NaN,1.981483,0.5640004,2.0484445,1.8832121,NaN,2.8476439,NaN,0.9284193,NaN,0.17181773,2.141461,0.0
1.0,-3.6372838,4.8138356,3.2197309,2.4154723,2.329152,2.3355691,1.7412282,5.4122972,3.3580358,0.43855748,3.4561837,-0.0038949691,3.558485,0.10265497,3.9855063,0.005361662,-3.395365,5.2124505,3.8549488,-2.5179152,NaN,NaN,NaN,NaN,NaN,-3.5285547,NaN,NaN,NaN,NaN,NaN,2.0069196,0.29980746,1.4163253,1.3186007,NaN,4.8985753,NaN,2.5229194,NaN,3.1642332,2.4969902,0.0
1.0,-2.8834116,2.987748,1.9049757,1.4268578,1.3781927,1.3470988,1.9322419,3.205143,3.6411605,-0.64270747,3.4779375,-0.013313926,3.5067117,0.054757882,3.44097,-0.017629737,-2.9843931,2.511165,2.1858475,-2.7938194,NaN,NaN,NaN,NaN,NaN,-3.1115305,NaN,NaN,NaN,NaN,NaN,2.0337515,0.20040804,0.43302828,0.37911275,NaN,2.2358937,NaN,1.7246075,NaN,3.8844657,1.8570377,0.0
1.0,-2.9252937,3.4124193,2.2658887,1.7176268,1.6578866,1.639979,1.9499952,2.5015202,3.6844876,0.095618956,3.792029,-0.03227912,3.6368341,0.06598376,3.590126,0.004777135,-3.007877,3.204415,2.7771983,-2.0212889,NaN,NaN,NaN,NaN,NaN,-3.2157872,NaN,NaN,NaN,NaN,NaN,2.0526412,0.32073358,0.766647,0.70506227,NaN,2.9045053,NaN,2.0673444,NaN,4.0191765,2.275772,0.0
