@RELATION janeiro_17_05_17_00_51
@ATTRIBUTE Id NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
1.0,39.7,0.074,0.111,0.136,0.142,0.142,-29.622,0.464,62.251,-0.128,66.306,0.269,76.464,0.341,79.605,0.305,20.8,0.114,10.521,2.09,36.4,-49.941,0.618,0.2,14.644,45.4,0.078,0.145,0.188,0.191,0.191,-55.394,0.811,0.152,13.934,2.48,7.66E-4,6.72E-4,0.11054634,0.14869261,48.24501,0.545,0.0
1.0,38.2,0.104,0.179,0.213,0.217,0.224,-29.126,0.656,86.164,1.003,92.124,0.584,93.437,0.734,88.668,-0.132,23.4,0.176,15.451,2.15,40.8,-47.575,0.547,0.279,21.586,44.6,0.131,0.214,0.274,0.284,0.29,-53.802,0.344,0.192,16.97,2.57,0.001884,0.001577,0.17438297,0.22576365,53.737686,0.591,0.0
1.0,40.6,0.14,0.301,0.359,0.371,0.373,-28.623,0.416,92.0,-0.147,89.877,-1.202,84.556,-1.249,76.273,-0.881,26.7,0.231,20.7,2.4,39.0,-48.382,1.029,0.466,32.045,40.8,NaN,NaN,NaN,NaN,NaN,-54.416,0.898,0.534,36.999,NaN,0.002472,NaN,0.29037875,NaN,46.225636,0.779,0.0
1.0,38.7,0.114,0.187,0.269,0.272,0.272,-2.722,0.399,39.528,-0.138,43.088,0.106,39.918,0.075,44.173,-0.073,21.2,0.249,20.674,2.12,36.1,0.845,1.189,0.581,34.127,43.4,NaN,NaN,NaN,NaN,NaN,-62.898,0.415,0.689,44.404,NaN,0.001411,NaN,0.22748171,NaN,30.896694,0.732,0.0
1.0,32.3,0.087,0.096,0.101,0.102,0.102,0.396,0.493,185.416,0.015,187.006,0.108,182.532,0.136,177.562,0.093,10.0,0.093,7.211,1.56,31.7,0.962,0.701,0.139,9.305,38.5,0.043,0.046,0.047,0.047,0.047,0.891,0.278,0.062,5.167,1.43,0.001,2.03E-4,0.09777627,0.04505377,163.16109,0.278,0.0
1.0,32.4,0.087,0.1,0.112,0.113,0.113,0.326,0.572,176.401,0.112,182.627,0.014,195.317,0.123,195.754,0.011,9.8,0.13,9.798,1.59,31.8,0.785,0.679,0.122,8.164,38.2,0.044,0.049,0.051,0.051,0.051,1.109,0.333,0.049,4.014,1.46,0.001025,2.37E-4,0.06640122,0.029968692,67.59365,0.334,0.0
1.0,30.4,0.115,0.124,0.134,0.134,0.135,0.184,0.726,181.58,0.253,185.34,-0.008,182.246,-0.136,199.543,-0.087,6.2,0.164,11.536,1.5,29.3,0.852,0.625,0.257,14.586,34.5,0.074,0.078,0.081,0.081,0.084,0.977,0.392,0.144,10.7,1.44,0.001661,6.19E-4,0.079328895,0.0493602,68.901985,0.399,0.0
1.0,29.1,0.144,0.163,0.168,0.169,0.172,-1.213,0.905,183.074,0.056,185.397,0.07,188.224,0.243,199.876,0.053,5.4,0.251,16.1,1.45,30.3,-0.394,0.843,0.186,11.535,35.4,0.065,0.073,0.077,0.078,0.078,1.451,0.291,0.108,8.242,1.5,0.002707,5.65E-4,0.15238127,0.06910314,156.87978,0.444,0.0
1.0,32.7,0.101,0.112,0.117,0.118,0.118,0.799,0.607,190.909,-0.212,185.997,-0.004,186.796,0.115,184.864,-0.065,8.9,0.138,10.486,1.4,31.9,0.031,0.464,0.128,8.536,37.0,0.051,0.056,0.057,0.057,0.057,1.951,0.253,0.052,4.152,1.41,0.001349,2.89E-4,0.11580643,0.055940393,178.0548,0.363,0.0
1.0,32.5,0.111,0.126,0.132,0.133,0.134,0.986,0.512,192.108,-0.029,194.66,-0.153,190.385,0.145,188.976,0.05,8.7,0.167,12.475,1.54,30.8,-0.226,0.806,0.171,10.87,36.6,0.057,0.063,0.066,0.067,0.067,2.303,0.299,0.071,5.571,1.49,0.00169,3.7E-4,0.131509,0.0657545,182.01534,0.416,0.0
