@RELATION marco_15_09_20_22_06
@ATTRIBUTE time_interval NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
3.0,31.2,0.124,0.132,0.137,0.139,0.14,1.919,0.557,137.399,0.316,130.412,0.226,131.573,0.19,121.073,0.224,7.8,0.191,13.4,1.41,31.0,0.745,0.856,0.191,12.06,38.2,0.044,0.046,0.047,0.047,0.047,4.567,0.178,0.075,5.993,1.37,0.001761,1.99E-4,0.082267,0.027618207,41.806377,0.437,0.0
3.0,34.0,0.081,0.086,0.088,0.088,0.089,0.584,0.55,159.266,0.122,148.261,-0.029,144.139,0.077,142.292,0.152,7.4,0.091,7.142,1.42,27.9,0.611,1.032,0.328,17.417,36.8,0.053,0.055,0.056,0.056,0.056,8.923,0.237,0.083,6.533,1.37,7.26E-4,2.72E-4,0.08734553,0.054958984,137.05089,0.253,0.0
3.0,32.7,0.094,0.099,0.101,0.102,0.102,1.007,0.766,146.69,0.112,152.345,0.147,154.096,-0.032,132.906,0.157,8.2,0.116,8.865,1.36,30.7,0.989,0.764,0.15,9.54,38.4,0.042,0.044,0.046,0.046,0.046,8.937,0.293,0.04,3.28,1.36,9.08E-4,1.82E-4,0.10010386,0.04514488,128.0106,0.317,0.0
3.0,29.3,0.141,0.149,0.154,0.158,0.158,0.345,0.997,166.491,0.062,148.309,0.053,147.176,0.091,151.183,-0.142,5.4,0.232,15.206,1.31,30.0,0.808,1.013,0.166,10.233,36.3,0.052,0.054,0.055,0.055,0.055,8.745,0.361,0.071,5.603,1.35,0.002094,2.63E-4,0.15506285,0.053977575,145.6144,0.522,0.0
3.0,31.5,0.102,0.108,0.111,0.111,0.111,1.458,0.568,145.434,0.349,140.997,-0.105,143.225,0.224,147.138,0.143,5.6,0.131,9.589,1.49,29.7,0.66,0.907,0.159,9.857,33.9,0.07,0.072,0.073,0.073,0.073,9.035,0.415,0.109,7.949,1.3,0.001246,4.29E-4,0.108936556,0.07164296,141.71838,0.332,0.0
3.0,36.4,0.072,0.077,0.079,0.079,0.08,-0.965,0.356,153.478,-0.057,150.089,-0.088,151.507,-0.051,148.385,0.024,16.4,0.087,7.194,1.56,34.7,-0.505,0.496,0.085,6.202,40.5,0.035,0.037,0.038,0.038,0.038,-4.201,0.525,0.048,4.129,1.64,6.71E-4,1.61E-4,0.066635676,0.031651948,102.94936,0.262,0.0
3.0,36.6,0.06,0.065,0.069,0.07,0.07,-1.023,0.344,155.62,-0.021,151.945,-0.066,156.219,-0.042,161.893,-0.048,15.8,0.07,5.948,1.75,34.2,-1.245,0.392,0.098,7.052,39.7,0.04,0.043,0.044,0.044,0.045,-4.995,0.117,0.052,4.39,1.73,5.82E-4,2.38E-4,0.058306217,0.03748257,112.321205,0.24,0.0
3.0,36.3,0.06,0.064,0.067,0.068,0.069,-0.917,0.343,148.013,0.056,160.084,-0.059,155.039,-0.033,153.659,-0.019,16.1,0.093,7.815,1.74,34.7,-0.834,0.42,0.088,6.347,38.5,0.041,0.044,0.045,0.045,0.045,-5.898,0.472,0.06,4.998,1.53,4.95E-4,1.93E-4,0.057473272,0.03748257,106.60846,0.35,0.0
3.0,38.0,0.046,0.05,0.052,0.052,0.052,-0.974,0.236,159.323,-0.094,155.067,-0.047,159.523,-0.055,159.094,-0.015,18.6,0.064,5.519,1.75,35.4,-0.938,0.438,0.071,5.237,41.5,0.033,0.034,0.035,0.035,0.035,-4.895,0.165,0.037,3.23,1.68,3.55E-4,1.49E-4,0.03367228,0.022664035,66.71019,0.219,0.0
3.0,36.7,0.051,0.057,0.059,0.059,0.059,-1.654,0.473,159.665,-0.018,165.729,-0.036,167.986,-0.034,158.942,-0.014,16.7,0.068,5.77,1.66,34.4,-0.922,0.388,0.083,6.026,42.5,0.029,0.032,0.033,0.033,0.033,-4.5,0.123,0.023,2.117,1.69,3.89E-4,1.1E-4,0.038205087,0.021368947,66.646454,0.241,0.0
