@RELATION minijanuary_15_09_20_18_56
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
46.6,0.026,0.029,0.032,0.032,0.032,-16.371,0.129,80.538,-0.086,79.072,-0.053,76.121,-0.07,82.033,-0.08,33.9,0.023,2.466,1.8,42.5,-24.568,0.219,0.036,3.258,50.0,0.016,0.018,0.02,0.02,0.02,-30.599,0.085,0.01,1.107,1.73,1.01E-4,3.3E-5,0.02085114,0.013031961,34.82958,0.107,0.0
50.9,0.02,0.024,0.028,0.029,0.029,-22.649,0.081,63.869,-0.011,61.213,-0.002,62.232,-0.006,64.355,-0.001,41.8,0.013,1.519,2.12,46.0,-34.669,0.157,0.016,1.509,52.5,0.014,0.017,0.02,0.02,0.02,-42.071,0.051,0.007,0.753,1.93,6.5E-5,2.9E-5,0.020222856,0.013946797,31.294735,0.068,0.0
50.9,0.02,0.024,0.026,0.026,0.026,-22.659,0.104,62.48,0.0,60.557,0.006,61.489,-0.004,64.136,-0.012,41.9,0.01,1.13,2.04,46.0,-34.759,0.147,0.016,1.499,52.5,0.015,0.017,0.018,0.018,0.018,-42.153,0.057,0.007,0.741,1.86,5.7E-5,2.7E-5,0.018130837,0.012552117,31.188238,0.046,0.0
50.8,0.018,0.022,0.025,0.026,0.026,-22.707,0.08,63.831,0.009,64.364,-0.01,65.221,0.0,65.726,0.004,42.2,0.008,0.967,2.02,46.2,-34.681,0.152,0.019,1.851,52.4,0.016,0.018,0.02,0.02,0.02,-42.214,0.049,0.006,0.719,1.93,5.1E-5,3.3E-5,0.02053784,0.015798338,41.010967,0.036,0.0
50.9,0.021,0.024,0.027,0.028,0.028,-22.651,0.077,63.746,0.009,65.031,0.002,63.298,0.007,64.574,0.007,42.2,0.009,1.027,2.06,46.4,-34.722,0.121,0.017,1.617,52.4,0.014,0.016,0.018,0.019,0.019,-42.21,0.05,0.006,0.706,1.87,6.0E-5,2.7E-5,0.022117674,0.015008421,40.292152,0.04,0.0
50.8,0.019,0.022,0.025,0.025,0.025,-22.652,0.051,65.792,0.011,65.926,0.007,67.515,0.014,67.077,0.01,42.6,0.011,1.232,2.08,46.6,-34.628,0.117,0.016,1.536,52.5,0.015,0.017,0.019,0.019,0.019,-42.164,0.05,0.006,0.669,1.91,5.7E-5,3.1E-5,0.02499461,0.018995902,67.04808,0.05,0.0
50.8,0.02,0.024,0.027,0.027,0.027,-22.592,0.073,66.335,0.006,65.497,0.005,66.801,0.009,65.202,0.013,42.6,0.012,1.403,2.07,46.6,-34.475,0.116,0.016,1.564,52.5,0.016,0.018,0.02,0.02,0.02,-42.065,0.028,0.006,0.697,1.95,5.4E-5,3.3E-5,0.026994178,0.019995688,65.17389,0.052,0.0
51.0,0.018,0.021,0.022,0.023,0.023,-22.645,0.083,67.163,0.002,66.973,0.01,66.116,0.005,66.202,0.012,42.7,0.013,1.502,2.01,46.7,-34.555,0.133,0.017,1.627,52.6,0.014,0.016,0.017,0.017,0.017,-41.961,0.081,0.007,0.83,1.91,4.8E-5,2.8E-5,0.01754664,0.012969256,38.530388,0.071,0.0
50.7,0.019,0.022,0.024,0.024,0.024,-22.585,0.095,66.82,0.006,67.515,0.008,66.44,0.013,68.553,0.003,42.7,0.01,1.121,2.04,47.0,-34.475,0.098,0.013,1.324,52.6,0.015,0.017,0.019,0.019,0.019,-41.998,0.052,0.006,0.625,1.91,5.4E-5,3.0E-5,0.018309537,0.014495051,39.8987,0.046,0.0
50.6,0.019,0.022,0.024,0.024,0.024,-22.621,0.122,67.696,0.006,66.697,0.005,68.344,0.001,67.163,0.0,42.7,0.014,1.587,2.06,46.8,-34.336,0.124,0.015,1.494,52.5,0.014,0.015,0.018,0.018,0.018,-42.056,0.041,0.006,0.662,1.86,5.0E-5,2.5E-5,0.018309537,0.013732153,39.089703,0.077,0.0
