@RELATION novembro_15_09_20_22_07
@ATTRIBUTE time_interval NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
11.0,51.6,0.017,0.021,0.027,0.028,0.028,-36.388,0.077,76.067,0.043,76.381,0.035,77.904,0.039,75.705,0.045,43.1,0.014,1.628,1.94,46.6,-54.713,0.113,0.021,2.008,52.8,0.013,0.015,0.019,0.019,0.019,-64.379,0.091,0.006,0.715,1.82,3.8E-5,2.4E-5,0.022117674,0.015008421,47.237553,0.073,0.0
11.0,51.2,0.017,0.02,0.022,0.022,0.022,-36.263,0.088,73.573,0.029,75.658,0.014,76.457,0.012,76.2,0.024,42.9,0.012,1.362,1.97,46.5,-54.639,0.156,0.021,2.084,52.7,0.014,0.017,0.018,0.018,0.018,-64.209,0.031,0.006,0.626,1.92,4.2E-5,2.8E-5,0.021995256,0.017996117,76.16714,0.064,0.0
11.0,51.6,0.017,0.02,0.023,0.023,0.023,-36.416,0.061,76.743,0.025,74.544,0.036,74.268,0.025,75.277,0.019,42.7,0.009,1.063,1.99,46.5,-54.535,0.13,0.014,1.359,52.7,0.014,0.016,0.018,0.018,0.018,-64.238,0.031,0.006,0.672,1.89,4.3E-5,2.7E-5,0.02299504,0.017996117,75.24454,0.04,0.0
11.0,51.2,0.017,0.021,0.025,0.025,0.025,-36.301,0.062,74.344,0.01,75.305,0.021,76.238,0.015,76.99,0.015,42.8,0.008,0.926,1.96,46.7,-54.508,0.106,0.018,1.798,53.0,0.014,0.016,0.019,0.019,0.02,-64.154,0.058,0.006,0.654,1.84,4.0E-5,2.4E-5,0.02499461,0.019995688,76.9568,0.036,0.0
11.0,51.4,0.018,0.021,0.024,0.024,0.024,-36.318,0.076,76.638,0.015,77.276,0.015,74.715,0.012,75.772,0.02,43.0,0.011,1.324,2.03,46.6,-54.458,0.155,0.017,1.701,52.9,0.013,0.016,0.018,0.018,0.018,-64.103,0.068,0.006,0.7,1.85,4.4E-5,2.3E-5,0.018309537,0.013732153,44.10025,0.066,0.0
11.0,51.6,0.018,0.02,0.022,0.022,0.022,-36.287,0.113,73.944,0.012,76.638,0.001,75.81,0.02,75.248,0.008,42.9,0.011,1.314,2.04,46.5,-54.448,0.111,0.015,1.451,52.8,0.014,0.015,0.016,0.017,0.017,-64.139,0.04,0.006,0.666,1.83,4.4E-5,2.4E-5,0.016783742,0.012969256,43.795273,0.061,0.0
11.0,51.5,0.017,0.019,0.022,0.022,0.022,-36.278,0.057,76.096,0.017,77.171,-0.0,76.419,0.007,76.429,0.007,42.9,0.01,1.141,2.02,46.6,-54.486,0.132,0.013,1.236,52.8,0.014,0.016,0.018,0.018,0.018,-64.095,0.045,0.006,0.666,1.92,4.5E-5,2.9E-5,0.016783742,0.013732153,44.482628,0.054,0.0
11.0,51.6,0.017,0.019,0.021,0.022,0.022,-36.317,0.087,75.191,0.002,75.401,-0.002,75.324,-0.011,76.124,-0.006,43.1,0.007,0.819,1.97,46.4,-54.408,0.154,0.019,1.839,52.8,0.013,0.015,0.017,0.017,0.017,-64.097,0.045,0.006,0.62,1.85,4.2E-5,2.4E-5,0.016783742,0.012969256,44.305115,0.032,0.0
11.0,51.5,0.018,0.021,0.024,0.024,0.024,-36.326,0.081,77.6,-0.011,78.828,-0.02,80.046,-0.012,79.275,-0.021,43.3,0.01,1.157,2.01,47.0,-54.505,0.127,0.015,1.504,52.5,0.015,0.017,0.018,0.018,0.018,-64.224,0.066,0.007,0.782,1.87,4.4E-5,2.8E-5,0.017436134,0.0130771,41.84217,0.053,0.0
11.0,51.6,0.018,0.021,0.022,0.022,0.022,-36.354,0.079,76.867,-0.009,75.553,-0.02,75.439,-0.015,76.829,-0.009,42.9,0.007,0.808,2.02,46.8,-54.403,0.123,0.015,1.521,52.5,0.015,0.017,0.017,0.018,0.018,-64.272,0.05,0.006,0.684,1.89,4.4E-5,3.0E-5,0.015983123,0.0130771,40.551144,0.03,0.0
