@RELATION observations-time_17_05_17_00_42
@ATTRIBUTE Attribute 0 NUMERIC
@ATTRIBUTE Attribute 1 NUMERIC
@ATTRIBUTE Attribute 2 NUMERIC
@ATTRIBUTE Attribute 3 NUMERIC
@ATTRIBUTE Attribute 4 NUMERIC
@ATTRIBUTE Attribute 5 NUMERIC
@ATTRIBUTE Attribute 6 NUMERIC
@ATTRIBUTE Attribute 7 NUMERIC
@ATTRIBUTE Attribute 8 NUMERIC
@ATTRIBUTE Attribute 9 NUMERIC
@ATTRIBUTE Attribute 10 NUMERIC
@ATTRIBUTE Attribute 11 NUMERIC
@ATTRIBUTE Attribute 12 NUMERIC
@ATTRIBUTE Attribute 13 NUMERIC
@ATTRIBUTE Attribute 14 NUMERIC
@ATTRIBUTE Attribute 15 NUMERIC
@ATTRIBUTE Attribute 16 NUMERIC
@ATTRIBUTE Attribute 17 NUMERIC
@ATTRIBUTE Attribute 18 NUMERIC
@ATTRIBUTE Attribute 19 NUMERIC
@ATTRIBUTE Attribute 20 NUMERIC
@ATTRIBUTE Attribute 21 NUMERIC
@ATTRIBUTE Attribute 22 NUMERIC
@ATTRIBUTE Attribute 23 NUMERIC
@ATTRIBUTE Attribute 24 NUMERIC
@ATTRIBUTE Attribute 25 NUMERIC
@ATTRIBUTE Attribute 26 NUMERIC
@ATTRIBUTE Attribute 27 NUMERIC
@ATTRIBUTE Attribute 28 NUMERIC
@ATTRIBUTE Attribute 29 NUMERIC
@ATTRIBUTE Attribute 30 NUMERIC
@ATTRIBUTE Attribute 31 NUMERIC
@ATTRIBUTE Attribute 32 NUMERIC
@ATTRIBUTE Attribute 33 NUMERIC
@ATTRIBUTE Attribute 34 NUMERIC
@ATTRIBUTE Attribute 35 NUMERIC
@ATTRIBUTE Attribute 36 NUMERIC
@ATTRIBUTE Attribute 37 NUMERIC
@ATTRIBUTE Attribute 38 NUMERIC
@ATTRIBUTE Attribute 39 NUMERIC
@ATTRIBUTE Attribute 40 NUMERIC
@ATTRIBUTE Attribute 41 NUMERIC
@ATTRIBUTE Attribute 42 NUMERIC
@ATTRIBUTE Attribute 43 NUMERIC
@ATTRIBUTE Attribute 44 NUMERIC
@ATTRIBUTE Attribute 45 NUMERIC
@ATTRIBUTE Attribute 46 NUMERIC
@ATTRIBUTE Attribute 47 NUMERIC
@ATTRIBUTE Attribute 48 NUMERIC
@ATTRIBUTE Attribute 49 NUMERIC
@ATTRIBUTE Attribute 50 NUMERIC
@ATTRIBUTE Attribute 51 NUMERIC
@ATTRIBUTE Attribute 52 NUMERIC
@ATTRIBUTE Attribute 53 NUMERIC
@ATTRIBUTE Attribute 54 NUMERIC
@ATTRIBUTE Attribute 55 NUMERIC
@ATTRIBUTE Attribute 56 NUMERIC
@ATTRIBUTE Attribute 57 NUMERIC
@ATTRIBUTE Attribute 58 NUMERIC
@ATTRIBUTE class        {1.0,2.0,3.0}
@DATA
1.0,0.14524388,0.3446111,0.104628846,0.031149913,-0.27020162,0.057526957,-0.070634335,0.05263211,0.0075601456,0.05053067,-0.2916656,-0.22469296,-0.37418184,-0.31246093,-0.39022166,-0.40217605,-0.3542751,-0.4168828,-0.42642853,-0.38689384,-0.4367204,-0.39372835,-0.3459346,-0.3999337,-0.1276375,-1.3536983,1.5407108,1.5507652,1.6247426,-2.1232483,-2.122175,-1.9830815,-2.1056817,-0.16217516,-1.5171508,-1.5486766,-1.4915062,-1.522718,-0.21267842,-1.6158766,0.5425992,1.1849383,0.27252993,-0.10534676,-0.34141046,-0.99845016,-0.67029375,-0.55083585,1.109426,0.9325127,0.6576142,0.72885,-0.22401991,-0.11953133,0.9839881,0.6025594,1.427508,0.25449082,3.0
2.0,0.07864985,-0.007186032,0.07283513,0.017091762,-0.32607865,0.015004734,-0.067620695,0.05991874,-0.10191433,0.07421945,-0.35098743,-0.25642616,-0.4032352,-0.33393583,-0.34355447,-0.42369914,-0.37214583,-0.38403293,-0.44383577,-0.40131018,-0.41010755,-0.43995845,-0.4153094,-0.42452902,-0.14616805,-0.9449878,1.8052485,1.7792172,1.8966329,-0.8990862,-0.9216256,-0.7473312,-0.83417,-0.16217516,-1.2630917,-1.2948326,-1.2351291,-1.2677151,-0.20114571,-1.6158766,0.44478396,0.3069495,6.17E-4,-0.23224352,-0.30950707,-0.449771,-0.4534303,-0.44891813,1.7839371,1.7996926,1.7969882,1.6293905,-0.31077617,-0.11953133,1.8914182,0.41188255,0.27553833,-0.063897334,3.0
3.0,-0.18944857,-0.25029108,-0.14972107,-0.0798224,-0.4098942,-0.0963136,-0.102193855,-0.1479522,-0.49419808,-0.5061566,-0.52546334,-0.5420251,-0.5381257,-0.5486847,-0.6098321,-0.5267022,-0.53496796,-0.58729166,-0.52589846,-0.532659,-0.5781009,-0.51287067,-0.5259787,-0.5713382,-0.21102498,-0.49540624,1.2990586,1.2075392,1.3392334,-0.42521644,-0.37137353,-0.20360096,-0.30616963,-0.16217516,-1.0090325,-1.0409886,-0.978752,-1.0127121,-0.189613,-1.6158766,-0.42531255,-0.6562711,-0.530697,-0.5667895,-0.60575277,-0.6383795,-0.63414985,-0.7376852,0.7086557,0.72346556,0.7045161,0.7276682,-0.48428866,-0.44983548,0.55896753,-0.40643883,-0.59326553,-0.502432,3.0
4.0,-0.24685721,-0.27227843,-0.23991148,-0.083803475,-0.43783268,-0.101499245,-0.10298913,-0.15706046,-0.57630396,-0.67197835,-0.55686903,-0.6054915,-0.5547276,-0.58895016,-0.6263029,-0.53900105,-0.56475246,-0.5996103,-0.5370888,-0.5566862,-0.5880807,-0.5285661,-0.53956,-0.5741981,-0.24808608,0.035917323,1.0101947,0.85415053,1.0051705,0.16712034,0.3289469,0.21655333,0.2972598,-0.16217516,-0.7549735,-0.7871445,-0.7223749,-0.75770926,-0.17808028,-1.6158766,-0.6196482,-0.73861384,-0.6703604,-0.6706142,-0.63765615,-0.5355021,-0.72450954,-0.68672633,0.33457226,0.2910005,0.3299252,0.27710262,-0.50597775,-0.5232364,0.5393184,-0.5812259,-0.67692816,-0.6045565,3.0
5.0,-0.27154294,-0.30090344,-0.23407182,-0.078578316,-0.43783268,-0.09199224,-0.10152416,-0.15017866,-0.6857785,-0.77857804,-0.60223275,-0.6462914,-0.5817057,-0.61042506,-0.63453835,-0.5574494,-0.5786519,-0.60576975,-0.55200934,-0.5678989,-0.5930706,-0.53798336,-0.557546,-0.58010864,-0.24808608,0.5672409,0.6574212,0.4476348,0.60059154,0.7397129,0.77915287,0.73556894,0.7606071,-0.16217516,-0.5009144,-0.5333004,-0.46599787,-0.5027063,-0.16654755,-1.6158766,-0.6434252,-0.77250654,-0.695105,-0.7282945,-0.6558866,-0.4154786,-0.4534303,-0.6017947,-0.038543727,-0.05675122,-0.0443373,-0.01536552,-0.5276668,-0.5232364,-0.11125625,-0.60506046,-0.709106,-0.6225785,3.0
6.0,-0.2686725,-0.31459364,-0.30349895,-0.074099615,-0.43783268,-0.08715231,-0.10031033,-0.14349926,-0.72227,-0.80226684,-0.6161909,-0.6462914,-0.5858562,-0.60237193,-0.62081265,-0.5605241,-0.5746807,-0.5955041,-0.55449605,-0.56469524,-0.5847541,-0.54283464,-0.55038834,-0.5692409,-0.1276375,1.0985645,0.43017817,0.18662491,0.33973604,0.93715847,0.9792443,1.0568638,0.9437911,-0.16217516,-0.24685533,-0.27945632,-0.20962079,-0.24770339,-0.15501484,-1.6158766,-0.7357082,-0.7606163,-0.6268951,-0.7282945,-0.6422137,-0.4154786,-0.4172864,-0.4828907,-0.39931718,-0.38183868,-0.37044987,-0.34723362,-0.5276668,-0.5232364,-0.35104808,-0.66861945,-0.709106,-0.58653456,3.0
7.0,-0.29163596,-0.32455015,-0.35475826,-0.073975205,-0.43783268,-0.08767088,-0.100477755,-0.14228483,-0.74051577,-0.8141113,-0.6196804,-0.65989125,-0.59415716,-0.6211625,-0.6400286,-0.5666736,-0.58659446,-0.6098759,-0.5594696,-0.5743062,-0.5963972,-0.5455457,-0.56121665,-0.5818246,0.33562618,1.4255328,0.2925271,0.024627266,0.17087436,1.0358813,1.0542793,0.98271894,1.0084441,-0.16217516,0.0072037578,-0.025612244,0.046756305,0.007299535,-0.14348212,-1.6158766,-0.809511,-0.87451816,-0.75376916,-0.7282945,-0.66044426,-0.39833236,-0.34499866,-0.4828907,-0.550465,-0.5493182,-0.5151954,-0.5100578,-0.5276668,-0.5232364,-0.5024588,-0.7162886,-0.77346194,-0.65862244,3.0
8.0,-0.2990991,-0.3166679,-0.35994908,-0.0753437,-0.35401714,-0.088708006,-0.100268476,-0.14309445,-0.5580582,-0.64828956,-0.45218349,-0.4966919,-0.4468152,-0.47620693,-0.4972818,-0.45598367,-0.47937015,-0.49900755,-0.46870324,-0.48620635,-0.506579,-0.45650995,-0.47403938,-0.4939297,0.7896246,1.4255328,0.24412882,-0.04462649,0.12119025,0.95690274,1.0792904,0.98271894,1.0192199,-0.16217516,0.26126283,0.22823182,0.3031334,0.26230246,-0.1319494,-1.6158766,-0.8184568,-0.86840636,-0.7621101,-0.5667895,-0.5009273,0.5104176,0.594743,0.519301,-0.625722,-0.61549747,-0.6171446,-0.5624564,-0.4192215,-0.41313502,-0.53734016,-0.7242335,-0.77346194,-0.6646298,3.0
9.0,-0.27096885,-0.31251937,-0.3203691,-0.07633897,2.830973,-0.0906094,-0.10098003,-0.14552331,2.1970506,2.1469913,2.656978,2.644896,2.1887379,2.1813107,2.1051025,2.1990361,2.1932955,2.147462,2.274181,2.2641096,2.2312138,2.655888,2.64232,2.6090827,0.93786895,1.0576934,0.205478,-0.0904508,0.07403594,0.8779242,0.9042101,0.859144,0.8899135,-0.16217516,0.5153219,0.4820759,0.55951047,0.5173054,-0.120416686,-1.6158766,-0.79927045,-0.8358471,-0.7560862,2.0518985,2.5390089,2.2764795,2.438082,2.3198493,-0.6288911,-0.63560975,-0.6268337,-0.54289645,3.9836586,4.064321,-0.6262457,-0.7083438,-0.7477196,-0.65862244,3.0
10.0,-0.26637617,-0.28970233,-0.29246846,-0.07621456,1.5737401,-0.090263695,-0.10102188,-0.14613053,2.2791567,2.2417467,1.8299619,1.8198326,2.2655218,2.251104,2.179221,2.477298,2.4653277,2.424633,2.2654772,2.251295,2.2228973,2.5714183,2.553124,2.5253825,1.0119911,0.48549882,0.124616474,-0.19408792,-0.012359622,0.5817558,0.70411867,0.5378491,0.6097496,-0.16217516,0.769381,0.73591995,0.81588763,0.7723083,-0.10888396,-1.6158766,-0.72558534,-0.8030656,-0.7402385,2.1211147,1.732309,2.2764795,2.2212183,2.200945,-0.7353051,-0.75739163,-0.7472086,-0.67107856,2.3136005,2.339399,-0.7795936,-0.6606746,-0.72197723,-0.64660776,3.0
