@RELATION outubro_15_09_20_22_07
@ATTRIBUTE time_interval NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
10.0,45.9,0.024,0.027,0.03,0.03,0.03,-15.297,0.166,101.12,-0.095,102.005,-0.134,99.53,-0.151,98.74,-0.125,33.1,0.027,2.857,1.79,41.6,-23.67,0.245,0.034,3.016,48.8,0.018,0.02,0.022,0.022,0.022,-30.643,0.164,0.013,1.364,1.79,7.9E-5,4.6E-5,0.02983833,0.021881443,97.67864,0.136,0.0
10.0,46.4,0.025,0.028,0.03,0.03,0.03,-15.587,0.132,95.893,-0.168,96.065,-0.185,98.34,-0.197,95.513,-0.173,33.3,0.02,2.132,1.86,41.5,-23.949,0.227,0.036,3.125,49.1,0.017,0.019,0.02,0.02,0.02,-30.995,0.16,0.011,1.184,1.71,8.2E-5,3.5E-5,0.02117147,0.014114314,47.568783,0.088,0.0
10.0,46.3,0.022,0.025,0.028,0.028,0.028,-15.646,0.141,95.256,-0.147,92.609,-0.116,92.904,-0.055,96.903,-0.042,33.4,0.022,2.334,1.78,41.8,-24.389,0.177,0.029,2.541,49.1,0.017,0.019,0.02,0.02,0.02,-31.411,0.063,0.012,1.28,1.71,6.8E-5,3.6E-5,0.01976004,0.014114314,48.261047,0.109,0.0
10.0,46.6,0.024,0.025,0.027,0.027,0.027,-15.854,0.113,102.176,-0.041,100.549,-0.033,100.358,-0.038,102.814,-0.06,33.6,0.02,2.152,1.78,42.1,-24.562,0.137,0.028,2.54,49.0,0.018,0.019,0.02,0.02,0.02,-31.635,0.081,0.01,1.044,1.76,6.7E-5,4.1E-5,0.019054323,0.014114314,51.204933,0.073,0.0
10.0,46.9,0.022,0.025,0.027,0.027,0.027,-15.843,0.107,100.52,-0.112,102.605,-0.111,101.843,-0.103,100.606,-0.136,34.5,0.021,2.237,1.84,42.7,-24.711,0.222,0.025,2.289,49.1,0.018,0.02,0.021,0.021,0.021,-31.657,0.043,0.01,1.101,1.76,6.8E-5,4.2E-5,0.021122908,0.016428927,61.5749,0.091,0.0
10.0,46.7,0.025,0.027,0.031,0.031,0.031,-16.111,0.124,104.233,-0.119,106.06,-0.081,103.671,-0.089,106.679,-0.069,34.9,0.024,2.557,1.8,43.1,-24.677,0.172,0.023,2.147,49.4,0.017,0.019,0.022,0.022,0.022,-31.926,0.182,0.012,1.284,1.7,7.1E-5,3.8E-5,0.024252227,0.017211257,65.29182,0.129,0.0
10.0,46.6,0.024,0.027,0.029,0.03,0.03,-16.244,0.136,105.508,-0.104,100.967,-0.085,100.034,-0.081,99.549,-0.042,34.4,0.018,1.876,1.85,43.0,-24.863,0.244,0.023,2.061,48.7,0.019,0.021,0.023,0.023,0.023,-32.482,0.097,0.011,1.176,1.74,7.5E-5,4.6E-5,0.023469895,0.017993588,60.927975,0.081,0.0
10.0,45.5,0.026,0.031,0.032,0.033,0.033,-16.44,0.264,96.693,-0.032,97.626,-0.053,103.452,-0.131,106.213,-0.166,33.6,0.028,2.95,1.79,42.5,-24.944,0.195,0.028,2.544,48.6,0.019,0.021,0.023,0.023,0.023,-32.592,0.095,0.016,1.659,1.68,8.6E-5,4.1E-5,0.032998692,0.02299909,106.20458,0.119,0.0
10.0,45.7,0.026,0.029,0.031,0.031,0.031,-16.696,0.183,100.777,-0.167,100.977,-0.133,100.196,-0.052,103.271,-0.036,34.1,0.028,2.884,1.87,43.0,-25.067,0.161,0.027,2.447,49.6,0.017,0.018,0.02,0.02,0.02,-32.452,0.224,0.013,1.397,1.73,9.2E-5,3.7E-5,0.030998772,0.019999208,103.262825,0.112,0.0
10.0,45.7,0.023,0.026,0.029,0.029,0.029,-16.721,0.14,100.263,-0.037,97.331,-0.041,97.626,-0.059,98.407,-0.069,34.2,0.024,2.513,1.77,42.6,-25.324,0.166,0.03,2.747,48.7,0.018,0.019,0.021,0.021,0.021,-33.184,0.073,0.016,1.694,1.68,7.4E-5,3.8E-5,0.02899885,0.020999167,98.3992,0.112,0.0
