@RELATION res326x234_18_04_16_12_01
@ATTRIBUTE attr1 NUMERIC
@ATTRIBUTE attr2 NUMERIC
@ATTRIBUTE attr3 NUMERIC
@ATTRIBUTE attr4 NUMERIC
@ATTRIBUTE attr5 NUMERIC
@ATTRIBUTE attr6 NUMERIC
@ATTRIBUTE attr7 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
7680982.0,3.42446,3.118257,531.8414,1320.4183,1164.9316,763.6994,0.0
7680982.0,3.42446,3.118257,531.8414,1320.4183,1164.9316,763.6994,0.0
7739500.0,3.239494,2.919874,545.37744,1363.3247,1099.094,713.4111,0.0
7773608.0,3.103516,2.8018,556.5479,1394.6416,1052.0171,683.76685,0.0
7781122.0,3.073525,2.776035,559.8244,1400.7379,1041.3932,677.0859,0.0
7781255.0,3.071437,2.774742,560.05505,1401.0618,1040.641,676.7485,0.0
7796179.0,3.027435,2.715857,565.17615,1420.8729,1022.37604,660.12885,0.0
7804695.0,2.983275,2.6843,570.89355,1431.7375,1005.7094,651.17175,0.0
7805391.0,2.97703,2.680645,571.8237,1432.9353,1003.1795,650.0368,0.0
7805391.0,2.97703,2.680645,571.8237,1432.9353,1003.1795,650.0368,0.0
7806909.0,2.962998,2.671798,573.84485,1439.6615,998.4188,647.8221,0.0
7807307.0,2.958553,2.669699,574.5293,1441.4192,996.82904,647.2515,0.0
7807359.0,2.957929,2.669122,574.62524,1441.3124,996.5812,647.0859,0.0
7807359.0,2.957929,2.669122,574.62524,1441.3124,996.5812,647.0859,0.0
7888472.0,2.656076,2.414858,564.6646,1398.1069,890.4359,582.0736,0.0
7953479.0,2.522311,2.244923,551.1616,1363.5256,844.6325,540.69324,0.0
7964848.0,2.490307,2.197488,544.42914,1357.3583,834.08545,529.4847,0.0
7983457.0,2.40968,2.130385,535.3167,1337.5712,801.9658,509.74847,0.0
8009585.0,2.350319,2.066977,522.3192,1318.7185,778.24786,491.70554,0.0
8015988.0,2.330523,2.037506,516.67804,1312.626,771.094,484.29446,0.0
8016232.0,2.329095,2.034643,516.8656,1310.6825,770.5299,483.5399,0.0
8016237.0,2.328987,2.034536,516.8805,1310.6019,770.4872,483.50922,0.0
8016258.0,2.32854,2.034382,516.8903,1310.6266,770.3077,483.4601,0.0
8016258.0,2.32854,2.034382,516.8903,1310.6266,770.3077,483.4601,0.0
8016520.0,2.324732,2.029996,516.92505,1307.4875,769.0171,482.39264,0.0
8016527.0,2.324572,2.029837,516.92706,1307.3597,768.9573,482.3497,0.0
8016542.0,2.324258,2.029522,516.9208,1307.4127,768.82904,482.25766,0.0
8016542.0,2.324258,2.029522,516.9208,1307.4127,768.82904,482.25766,0.0
8017396.0,2.318013,2.02233,516.4571,1307.6656,766.5299,480.38037,0.0
8017475.0,2.317426,2.021549,516.4093,1307.724,766.28204,480.15338,0.0
8023150.0,2.267983,1.986074,511.68954,1271.0337,749.5043,471.4233,0.0
8023942.0,2.259804,1.979169,510.80286,1262.8755,746.5043,469.5951,0.0
8038674.0,2.204436,1.932683,499.9269,1281.9492,726.7436,457.53375,0.0
8044061.0,2.182161,1.903217,495.60468,1292.4613,719.3077,450.53375,0.0
8046384.0,2.168048,1.889661,491.83838,1298.5641,713.70087,446.6503,0.0
8047969.0,2.158275,1.878738,489.5819,1303.2865,709.9829,443.67484,0.0
8048103.0,2.156981,1.877319,489.34186,1303.3138,709.4701,443.27606,0.0
8048103.0,2.156981,1.877319,489.34186,1303.3138,709.4701,443.27606,0.0
8048144.0,2.156419,1.876433,489.2362,1303.2455,709.2564,443.04294,0.0
