@RELATION res81x58_norm_18_04_16_12_01
@ATTRIBUTE attr1 NUMERIC
@ATTRIBUTE attr2 NUMERIC
@ATTRIBUTE attr3 NUMERIC
@ATTRIBUTE attr4 NUMERIC
@ATTRIBUTE attr5 NUMERIC
@ATTRIBUTE attr6 NUMERIC
@ATTRIBUTE attr7 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
-2.0375948,2.2246253,2.0123312,0.08214444,-0.17931418,2.2184684,2.0147007,0.0
-2.0375948,2.2246253,2.0123312,0.08214444,-0.17931418,2.2184684,2.0147007,0.0
-1.5811523,1.7691267,1.5986974,0.51253474,0.44020265,1.7651936,1.6015053,0.0
-1.2539122,1.2443329,1.2674996,1.0381448,1.0584142,1.2522659,1.2731441,0.0
-1.196413,1.1715251,1.2082056,1.1304166,1.1575824,1.1795074,1.212368,0.0
-1.196413,1.1715251,1.2082056,1.1304166,1.1575824,1.1795074,1.212368,0.0
-1.095892,1.0854493,1.1144089,1.2548497,1.3443501,1.0859601,1.1127619,0.0
-1.0281495,0.93878865,1.0364766,1.4931694,1.4943033,0.9372787,1.031305,0.0
-1.026374,0.9338742,1.0347863,1.5021765,1.4983898,0.9314042,1.0291944,0.0
-1.026374,0.9338742,1.0347863,1.5021765,1.4983898,0.9314042,1.0291944,0.0
-1.0173599,0.90696746,1.0079666,1.5487533,1.6363657,0.9051929,1.003027,0.0
-1.0144917,0.89745563,0.99910605,1.5657868,1.6833552,0.89570284,0.99416363,0.0
-1.0144917,0.89745563,0.99910605,1.5657868,1.6833552,0.89570284,0.99416363,0.0
-1.0144917,0.89745563,0.99910605,1.5657868,1.6833552,0.89570284,0.99416363,0.0
-0.33515453,0.14123227,0.24787278,0.87408,0.7478943,0.1459698,0.24965309,0.0
0.23300846,-0.18198684,-0.14890477,0.4687704,0.14044897,-0.17037329,-0.1365307,0.0
0.3292957,-0.29920858,-0.30460173,0.14238647,-0.021816932,-0.28244913,-0.285939,0.0
0.4710633,-0.47547537,-0.47419527,-0.14041391,-0.30820847,-0.46863973,-0.46742398,0.0
0.67046666,-0.61405295,-0.6085655,-0.50258493,-0.54412067,-0.61596495,-0.6105021,0.0
0.7128057,-0.671788,-0.68046993,-0.6929588,-0.64169836,-0.6738105,-0.68182963,0.0
0.71458125,-0.671366,-0.6854167,-0.6934312,-0.6637952,-0.6738105,-0.68731636,0.0
0.71458125,-0.671366,-0.6854167,-0.6934312,-0.6637952,-0.6738105,-0.68731636,0.0
0.71458125,-0.671366,-0.6854167,-0.6934312,-0.6637952,-0.6738105,-0.68731636,0.0
0.71458125,-0.671366,-0.6854167,-0.6934312,-0.6637952,-0.6738105,-0.68731636,0.0
0.72168326,-0.6955979,-0.7079895,-0.69396794,-0.7661268,-0.69731045,-0.7092636,0.0
0.72168326,-0.6955979,-0.7079895,-0.69396794,-0.7661268,-0.69731045,-0.7092636,0.0
0.72168326,-0.6955979,-0.7079895,-0.69396794,-0.7661268,-0.69731045,-0.7092636,0.0
0.72168326,-0.6955979,-0.7079895,-0.69396794,-0.7661268,-0.69731045,-0.7092636,0.0
0.728239,-0.7131519,-0.7279809,-0.7112891,-0.76019984,-0.7149352,-0.72952235,0.0
0.72837555,-0.7133482,-0.7281638,-0.7117409,-0.760044,-0.7153871,-0.72994435,0.0
0.769622,-0.81619257,-0.7815128,-0.8308242,-1.0881537,-0.81435734,-0.7818577,0.0
0.78027505,-0.84785044,-0.80766135,-0.8682009,-1.2466123,-0.84553957,-0.8076031,0.0
0.90483385,-0.8865709,-0.87400186,-0.9309624,-1.0755882,-0.8884721,-0.87597656,0.0
0.9485387,-0.9458197,-0.9820263,-1.0553639,-0.8543818,-0.9449617,-0.9798028,0.0
0.963972,-0.94641566,-0.9987447,-1.0578381,-0.8142688,-0.94812495,-0.99837345,0.0
0.9725764,-0.96464914,-1.0226083,-1.1019379,-0.75764495,-0.96755743,-1.0236969,0.0
0.9725764,-0.96464914,-1.0226083,-1.1019379,-0.75764495,-0.96755743,-1.0236969,0.0
0.9725764,-0.96464914,-1.0226083,-1.1019379,-0.75764495,-0.96755743,-1.0236969,0.0
0.9725764,-0.96464914,-1.0226083,-1.1019379,-0.75764495,-0.96755743,-1.0236969,0.0
