@RELATION training_18_01_06_12_11
@ATTRIBUTE x0 NUMERIC
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@ATTRIBUTE x53 NUMERIC
@ATTRIBUTE x54 NUMERIC
@ATTRIBUTE x55 NUMERIC
@ATTRIBUTE x56 NUMERIC
@ATTRIBUTE x57 NUMERIC
@ATTRIBUTE x58 NUMERIC
@ATTRIBUTE x59 NUMERIC
@ATTRIBUTE x60 NUMERIC
@ATTRIBUTE x61 NUMERIC
@ATTRIBUTE x62 NUMERIC
@ATTRIBUTE x63 NUMERIC
@ATTRIBUTE x64 NUMERIC
@ATTRIBUTE x65 NUMERIC
@ATTRIBUTE x66 NUMERIC
@ATTRIBUTE x67 NUMERIC
@ATTRIBUTE x68 NUMERIC
@ATTRIBUTE x69 NUMERIC
@ATTRIBUTE x70 NUMERIC
@ATTRIBUTE x71 NUMERIC
@ATTRIBUTE x72 NUMERIC
@ATTRIBUTE x73 NUMERIC
@ATTRIBUTE x74 NUMERIC
@ATTRIBUTE x75 NUMERIC
@ATTRIBUTE x76 NUMERIC
@ATTRIBUTE x77 NUMERIC
@ATTRIBUTE x78 NUMERIC
@ATTRIBUTE x79 NUMERIC
@ATTRIBUTE x80 NUMERIC
@ATTRIBUTE x81 NUMERIC
@ATTRIBUTE x82 NUMERIC
@ATTRIBUTE x83 NUMERIC
@ATTRIBUTE x84 NUMERIC
@ATTRIBUTE x85 NUMERIC
@ATTRIBUTE x86 NUMERIC
@ATTRIBUTE x87 NUMERIC
@ATTRIBUTE x88 NUMERIC
@ATTRIBUTE x89 NUMERIC
@ATTRIBUTE x90 NUMERIC
@ATTRIBUTE x91 NUMERIC
@ATTRIBUTE x92 NUMERIC
@ATTRIBUTE x93 NUMERIC
@ATTRIBUTE x94 NUMERIC
@ATTRIBUTE x95 NUMERIC
@ATTRIBUTE x96 NUMERIC
@ATTRIBUTE x97 NUMERIC
@ATTRIBUTE x98 NUMERIC
@ATTRIBUTE x99 NUMERIC
@ATTRIBUTE target NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
1.16299,-0.8319711,-0.1852659,0.4412398,0.03395689,1.432988,-1.171483,0.2032477,1.900889,1.119174,-1.588227,-2.073093,-1.294932,0.4695965,-0.917616,-0.1269878,0.1377584,-0.4692864,-1.606459,-1.042775,0.04706432,0.1870689,0.4761881,1.592225,2.086264,-1.399343,-0.2810232,0.1656151,1.734503,1.404131,-0.2253481,-0.1530805,-1.328352,0.4486473,1.6018,-0.8688315,-1.955086,-1.852104,1.635048,-0.4883078,0.5512559,1.215066,0.1100348,1.374136,1.383074,-0.1479887,1.118169,0.3614558,0.4380053,-0.0227682,-2.191295,0.9219366,3.629748,-1.691727,1.053203,-0.7477053,-1.216145,-1.877039,-2.261261,1.792749,2.173331,-0.3614342,0.7316146,0.1007628,0.1919938,-1.39459,1.804411,-0.2771558,0.7060255,1.709763,-0.1779862,1.820904,-0.4413775,1.458885,-1.718135,1.491943,-0.7116389,-0.3932364,1.420271,-1.97311,0.1814779,0.3113899,-0.3225221,0.9230334,0.7156091,1.052723,0.7986482,0.594509,0.766456,-1.127342,-1.130117,-1.139286,-0.6082391,-0.107224,1.700972,-0.698151,0.5200044,-0.4507845,-0.1876939,-0.5383288,1.0,0.0
-1.750976,-0.5166142,-0.7615879,1.692347,-1.579436,0.5817818,-0.9509534,0.3814256,-1.370027,0.9433871,1.065376,-0.7047989,1.227274,-0.7037104,0.3393558,0.6959321,-0.3393112,1.109685,-1.22322,-1.026081,-1.38992,-0.07492656,-0.604064,0.8822865,-0.3580794,0.5789286,0.8202984,1.25535,0.2093564,1.20259,0.2830532,-0.1774919,1.540441,-0.4136301,-1.414556,-0.2580455,-2.703348,-1.713417,0.6635456,1.424628,-0.7474557,0.4385793,0.9579939,-0.6856749,-0.6815271,0.2800453,0.8070464,-1.32092,0.9972656,0.8300563,-0.9579745,1.156834,-0.3242883,0.8371625,-0.9513497,-0.04176311,0.8581185,0.4914128,1.086835,-0.346427,-0.7700043,-0.8178918,-1.354557,0.01959962,1.551245,-0.529234,-0.108139,0.3147003,0.09020628,-2.674567,0.1443265,0.4663478,-0.0413372,-1.210161,0.02279632,1.268583,-0.8801566,-0.3693188,-0.3481574,-0.8939685,0.4600423,0.1454272,-0.3686194,0.397397,0.08244177,-0.7025974,-0.01622312,-1.023253,0.3912093,-0.8333765,1.119688,-0.2805021,-0.306014,0.5549259,-1.402866,-0.7764779,1.18189,-0.06644898,-0.80243,1.587229,0.0,0.0
0.3046354,0.9723694,0.2029076,-0.6077614,0.4870876,0.2051731,0.8152164,0.4918797,0.9047047,1.167017,-0.8983152,-1.005882,-1.629758,0.8279797,-0.8008675,-0.09084703,-1.505064,-0.7491811,-0.7473279,-0.9249783,-0.8832581,0.9957973,0.6126649,-1.466707,-0.6134205,-0.4753036,-0.1173501,-0.04521232,0.3235319,0.9048502,0.1400934,-1.083813,1.464877,2.119372,-0.3036261,0.4109011,-1.790323,-1.903114,-1.153988,-2.819337,-0.3519464,0.98542,0.5553649,0.4768592,-2.228747,0.09968945,-0.3148704,-1.435916,-0.9695641,0.4114694,-0.776409,1.747574,2.672308,-0.001500561,-0.9431291,0.8889466,1.757373,-1.267497,-0.1164381,0.3808844,-0.6351364,0.9042724,0.1617124,-0.5750073,-1.057299,-0.073783,0.05719424,0.2412033,1.289701,0.2610924,-1.069399,1.104484,-0.4367243,0.5553852,-0.3109863,-0.4940783,-1.58838,-1.04331,-0.1392209,-0.6209116,-0.8064722,-1.689724,-0.1052936,0.5626171,-0.7226767,-1.05578,-0.864613,-2.870269,-1.643873,-1.17976,0.580494,-0.1349006,0.2914963,-1.038477,1.297057,-1.296614,-1.109806,-0.003495207,-0.1499397,0.5398917,8.0,0.0
-1.667576,-0.262639,-1.513473,-1.060125,-0.4562086,1.782235,1.034366,0.1152169,-0.1821769,-1.00772,0.6383893,1.362196,0.02278296,-0.6851536,0.2094998,1.272829,0.0214461,-2.377806,0.9116861,-0.8010516,1.536903,0.1080699,2.242202,-0.3783957,-0.5897817,1.710315,-0.4275221,0.2819047,-1.277258,-2.125018,1.447899,-0.4332635,-0.2797316,2.992868,2.167607,0.09281066,-0.159702,2.367673,-0.2862352,-0.07807957,0.2594429,-0.5484424,0.7876971,0.6268841,-1.613984,-0.105411,1.517613,0.6921588,-0.2067653,-0.5193624,2.731197,-1.243658,0.8796204,-0.3664208,0.2645132,0.2502721,0.4183392,-1.264891,-1.773907,-0.4686303,0.2937949,0.4557071,2.99666,1.092758,-1.394223,1.867079,0.1078767,-0.1116739,1.366965,-1.156829,1.016703,-1.250342,-0.04749098,-0.7337165,0.147792,2.664895,1.297595,1.770718,0.1768675,2.833215,0.7914225,-0.3049886,-0.3265472,0.6702541,-0.9599541,-0.1307156,-0.1939057,-0.4756507,-0.6282079,1.06294,2.236321,1.203067,0.08264678,-1.625862,-0.1541162,0.4784832,-1.46505,-0.4505095,-0.7576313,-3.184493,7.0,0.0
-0.8206695,0.3906312,0.7616285,-0.9454066,-0.8710032,-0.1422934,-1.522004,0.1419622,0.09109401,-0.8608177,0.3365176,2.144426,-1.489244,0.5281455,-1.494986,1.009409,-0.006426812,0.8464712,0.7460579,-0.8374889,-0.2483541,0.1813237,-1.561889,-1.15529,0.6797068,0.2262295,1.123761,0.9421013,-0.6092873,-0.649239,1.675202,-0.2059763,-0.03244123,-1.964611,-1.813224,-0.3503658,-0.7108348,1.890456,0.6119486,-1.527161,-0.8338987,0.07280613,-0.6423214,-1.991247,1.048777,-0.09958822,-0.8514719,0.02713129,1.744474,-0.002840641,0.9516217,0.445898,-3.620725,1.003305,-0.09336778,1.380087,-0.100956,0.2414524,2.165286,-0.2645432,-1.38309,0.2676874,-2.433476,0.6565958,1.290886,1.219272,0.5481656,0.5929942,-2.123704,-0.2527311,1.068796,-0.1727819,0.4913519,0.5589005,0.8246192,0.07009896,0.4544095,1.302307,1.533845,-0.04877457,1.593953,-1.281156,0.8671911,0.8460716,2.208059,-0.751534,-1.002778,-0.09592068,0.09597916,1.06965,-1.891811,1.955541,0.0794451,0.5281769,1.522003,1.849394,-1.19459,1.023761,-0.3353911,2.448868,3.0,0.0
0.4641964,1.005845,-1.352187,-1.179769,0.6092033,-0.1361078,0.6426194,-0.7176995,0.09553527,1.073263,0.3638509,-2.660859,0.5243671,0.9418792,0.4240358,2.070823,0.1106936,-1.306748,0.09004526,1.184913,-0.3561115,0.5731108,0.09007714,-0.842318,-0.6911109,0.544033,0.9204017,-0.8142031,0.6666077,1.123159,-2.357853,-0.6772682,1.014573,2.736764,-1.069112,-0.4867729,-1.396455,-3.752796,0.432747,0.1061174,1.165709,-0.1342571,0.6176033,1.208574,-4.541567,1.126402,1.129771,-1.30593,0.340413,-1.041022,-2.24774,0.2750597,5.49918,-0.6817681,-1.645715,1.742756,3.522293,-0.9246284,1.067752,0.4499073,-1.970566,0.01782453,0.9336115,1.116482,-2.18837,-1.868551,-0.08079709,-0.7580375,1.933211,0.7137508,0.9615194,0.9634103,2.833711,1.382093,1.061357,2.193737,-3.811218,0.4320505,0.9351399,-1.109789,-0.3928397,-1.693202,-1.221119,-0.2221517,-0.663534,-0.9248215,-0.05283443,1.021584,-0.4815794,-2.130784,0.5457861,-0.1106943,0.7202757,-2.059236,-0.643318,-3.483737,1.218793,-0.7837229,-0.4990111,0.3050476,8.0,0.0
-0.5796935,-0.6185981,-0.6618646,-1.124007,-1.574926,0.8314092,0.55447,-1.008051,-1.2592,-0.3231833,1.219168,0.1014946,1.12233,0.1707675,-2.014491,-1.065384,-0.08142388,-0.9767744,-0.8912414,1.868282,0.7898008,0.3732483,0.00565689,0.3612568,-1.382765,0.7364174,0.3338237,0.6977292,0.4443808,-0.3249339,0.7575507,0.7037458,-1.623652,0.3209249,0.6623413,-0.1474686,0.505465,0.5368976,-3.419596,0.2507057,-0.2980803,-0.1627114,1.524021,1.806198,0.5297004,0.395826,-3.323452,0.7634609,0.1924215,-0.7798118,-0.2336309,0.8810083,1.365201,-1.000861,0.7226988,0.8160383,-0.3741843,-2.066279,-0.5767385,1.037671,0.4156579,0.0401676,0.3551744,1.019903,-1.577872,0.07012221,-1.091122,-0.1719749,-0.2910901,-0.517972,1.123142,0.6555061,0.05547955,-0.2411784,-0.2057253,0.7176724,-0.2893872,-0.08765597,-0.3031778,-0.4582345,0.3395938,0.512744,-0.1111676,0.7276397,1.669729,0.3191615,-0.3235163,-1.017904,0.1915609,0.1491529,0.06351145,0.8203056,-0.7777013,-0.720523,0.9301808,0.4170452,-1.71703,1.491438,-1.584237,-0.1308999,7.0,0.0
0.1694459,0.7820428,-1.876937,-0.5744524,-0.9596164,0.04871802,-1.908269,-0.9169708,0.6050715,0.2954161,0.5132301,1.671358,0.6917712,0.1704405,1.712522,0.727788,-1.016731,1.808211,2.401415,0.1344454,-1.147146,-0.5227922,-2.244419,0.4761487,-0.3627481,-0.7253007,-4.295391,0.5457269,1.172448,1.071858,1.195641,-0.3720045,1.683039,-3.779975,-1.224288,0.9792486,-0.5763587,1.314607,0.1124417,-1.906227,0.3624486,1.063987,-1.712122,0.1446704,5.073913,0.02767821,-0.2954452,0.1185024,-1.514437,1.040317,-0.8730508,0.78845,-3.548195,0.1988244,1.380856,0.7965845,-2.699854,-0.5362439,0.6423162,1.738828,0.993309,-1.194373,-4.393106,0.08672713,-0.2977925,0.948737,0.005000039,1.300865,-3.334306,-0.04323652,0.2104702,2.302482,0.4836285,-0.130334,-1.558244,-1.386695,0.8637933,1.10611,-0.991027,-2.86588,-0.7650619,1.995996,-1.492222,0.9714219,0.8153684,-0.09134619,0.3556312,-0.7422482,-0.7961142,0.6666343,-0.1745658,0.2295918,-0.7526803,1.775984,1.648896,3.344035,-1.963089,-0.7593301,-1.892505,4.388772,5.0,0.0
1.508218,-1.097923,1.698181,0.0620741,-2.127947,-0.1484464,-2.641919,-0.3301384,-0.7695114,0.6811488,-0.8040424,-4.968349,0.3216365,0.3497007,-1.925637,-0.5860119,0.1688694,1.34022,-0.3792895,0.4469875,0.8825251,-0.541601,-0.9715723,-0.04790177,0.06906075,-2.107484,1.021047,-0.7117134,2.571481,2.171207,0.6301687,0.5539954,1.170844,-2.447041,1.212407,-0.4648464,0.5236653,-4.141068,0.4333346,-0.3326108,1.196357,-0.4334208,-0.4909792,-0.524699,2.11946,0.5568998,0.08407113,1.906299,0.3938619,-1.46485,-4.777341,-0.6582936,4.237631,-2.474361,1.286773,-3.108664,-2.039542,1.005892,-1.334833,1.112653,2.538772,2.200709,1.520086,-0.3253769,-0.292375,-5.385352,-9.322986E-4,-2.090357,0.6073328,0.5731602,-0.9581117,0.3580747,-0.3359247,-0.2088671,-0.4220331,-0.2358643,-1.524709,2.433387,-1.020554,-2.788865,-1.27528,0.5611116,-0.2245294,-0.2885297,0.2489398,3.417575,-0.7070424,0.2935783,1.741935,-1.901835,1.391228,-2.466775,-0.3791436,1.358977,2.009735,-3.137339,0.4056056,1.09142,-1.134505,-1.915486,7.0,0.0
0.9509221,0.6037891,0.4822294,-0.03936062,0.07226791,-0.6189081,-0.8305905,-0.8456908,-0.3277877,0.2107253,-0.5348429,1.447268,-0.7259519,0.1856696,0.1299117,-0.4672806,0.6200866,6.918728E-4,-0.8027777,-1.06887,-0.9424285,-1.103864,1.047946,0.4549055,1.002803,-0.004348487,0.2410031,0.1773284,-1.406451,-0.5506143,0.9537503,1.307035,0.6115217,1.453158,-0.3844016,1.184756,0.06178182,0.8622106,-1.048646,0.6752124,-1.499715,-0.01299368,0.3529283,1.230545,-1.696095,-1.34588,0.2649486,-1.457169,0.751921,1.366523,2.153927,-0.02567526,-2.028344,1.67208,-1.136343,0.01856792,1.160205,0.01314479,0.2630286,-1.425782,-0.9294403,-1.531415,-0.0247633,-0.1666271,-1.005108,1.959733,-0.5181653,0.8623457,0.7450787,0.01069721,0.01294398,-0.8371234,-0.8704095,0.03207433,0.08209598,0.05197173,0.971585,1.060829,0.06024203,1.837674,-0.0029814,0.3176521,-0.152211,-1.277913,-0.2171057,-1.468639,0.9182309,-1.614168,-0.008076536,0.436013,0.09728873,-0.02097996,-0.412515,-0.07969005,-2.420217,0.4443545,0.07332993,0.8686572,-0.3113367,-0.0835393,2.0,0.0
